bar_time,candidate_a_equity,candidate_a_cash,candidate_a_pos,candidate_a_units,candidate_b_equity,candidate_b_cash,candidate_b_btc_pos,candidate_b_eth_pos,candidate_b_sol_pos,candidate_b_bnb_pos,latency_seconds
2026-09-19 16:00:00,9964.1573,0.0,ETHUSDT,3.782971,9949.6335,0.0,1,1,1,1,0.0041
2026-09-19 20:00:00,9955.2295,0.0,ETHUSDT,3.782971,9938.4133,0.0,1,1,1,1,0.0039
2026-09-20 00:00:00,9784.9958,0.0,ETHUSDT,3.782971,9786.9031,0.0,1,1,1,1,0.0037
2026-09-20 04:00:00,9743.1183,0.0,ETHUSDT,3.782971,9752.3561,0.0,1,1,1,1,0.0057
2026-09-20 08:00:00,9752.1218,0.0,ETHUSDT,3.782971,9774.6324,0.0,1,1,1,1,0.004
2026-09-20 12:00:00,9879.9106,0.0,ETHUSDT,3.782971,9842.2944,0.0,1,1,1,1,0.0052
2026-09-20 16:00:00,9957.4615,0.0,ETHUSDT,3.782971,9946.9793,0.0,1,1,1,1,0.0047
2026-09-20 20:00:00,10001.0792,0.0,ETHUSDT,3.782971,9982.978,0.0,1,1,1,1,0.005
2026-09-21 00:00:00,10081.5808,0.0,ETHUSDT,3.782971,10034.696,0.0,1,1,1,1,0.0047
2026-09-21 04:00:00,10065.768,0.0,ETHUSDT,3.782971,10025.3636,0.0,1,1,1,1,0.0042
2026-09-21 08:00:00,10305.684,0.0,ETHUSDT,3.782971,10357.9355,0.0,1,1,1,1,0.0046
2026-09-21 12:00:00,10418.2652,0.0,ETHUSDT,3.782971,10483.401,0.0,1,1,1,1,0.0041
2026-09-21 16:00:00,10461.0114,0.0,BTCUSDT,0.121,10506.5207,0.0,1,1,1,1,0.0054
2026-09-21 20:00:00,10476.0639,0.0,BTCUSDT,0.121,10533.9378,0.0,1,1,1,1,0.0045
2026-09-22 00:00:00,10364.4894,0.0,BTCUSDT,0.121,10391.5696,0.0,1,1,1,1,0.0045
2026-09-22 04:00:00,10324.3293,0.0,BTCUSDT,0.121,10344.0133,0.0,1,1,1,1,0.0046
2026-09-22 08:00:00,10400.003,0.0,BTCUSDT,0.121,10406.8635,0.0,1,1,1,1,0.0049
2026-09-22 12:00:00,10450.4965,0.0,BTCUSDT,0.121,10425.3292,0.0,1,1,1,1,0.0055
2026-09-22 16:00:00,10423.7191,0.0,BTCUSDT,0.121,10440.1127,0.0,1,1,1,1,0.0046
2026-09-22 20:00:00,10423.9853,0.0,BTCUSDT,0.121,10456.5634,0.0,1,1,1,1,0.0056
