date,open,close,high,low,volume,amount,amplitude,pct_chg,chg,turnover
2024-12-02,167.085,169.810,170.395,166.890,23789084,4073925856.000,2.10,1.52,2.540,0.41
2024-12-03,169.810,169.660,171.000,169.170,22248705,3813967376.000,1.08,-0.09,-0.150,0.38
2024-12-04,169.465,172.690,173.230,169.380,31615137,5497522176.000,2.27,1.79,3.030,0.54
2024-12-05,173.680,170.960,174.380,170.650,21356243,3706683856.000,2.16,-1.00,-1.730,0.37
2024-12-06,170.350,173.030,173.400,170.180,21462393,3749694688.000,1.88,1.21,2.070,0.37
2024-12-09,172.480,173.890,174.780,172.170,25389631,4448723200.000,1.51,0.50,0.860,0.43
2024-12-10,181.365,183.690,184.880,179.570,54813022,10092567040.000,3.05,5.64,9.800,0.94
2024-12-11,183.830,193.920,194.130,183.370,67894071,13097699840.000,5.86,5.57,10.230,1.16
2024-12-12,193.520,190.480,193.700,190.230,34817486,6734788864.000,1.79,-1.77,-3.440,0.60
2024-12-13,189.530,188.340,191.250,188.160,25143495,4799306240.000,1.62,-1.12,-2.140,0.43
2024-12-16,191.390,195.180,197.520,191.140,44934901,8836404736.000,3.39,3.63,6.840,0.77
2024-12-17,195.770,193.940,199.940,193.500,43504025,8574209792.000,3.30,-0.64,-1.240,0.74
2024-12-18,193.740,186.920,195.520,186.260,34166074,6541862656.000,4.77,-3.62,-7.020,0.58
2024-12-19,190.145,187.030,191.550,186.900,32265241,6130958848.000,2.49,0.06,0.110,0.55
2024-12-20,184.300,189.930,191.410,183.740,63462934,12083315968.000,4.10,1.55,2.900,1.09
2024-12-23,191.140,193.150,193.620,188.670,25675014,4970320384.000,2.61,1.70,3.220,0.44
2024-12-24,193.360,194.630,194.630,192.300,10403259,2033865936.000,1.21,0.77,1.480,0.18
2024-12-26,193.670,194.120,195.268,192.895,12057210,2360855312.000,1.22,-0.26,-0.510,0.21
2024-12-27,193.470,191.280,193.840,189.170,18891362,3635368912.000,2.41,-1.46,-2.840,0.32
2024-12-30,188.320,189.760,191.070,187.640,14264659,2727285600.000,1.79,-0.79,-1.520,0.24
2024-12-31,189.595,187.820,190.480,187.030,17466919,3316295024.000,1.82,-1.02,-1.940,0.30
2025-01-02,189.170,187.950,190.520,186.020,20370828,3861985440.000,2.40,0.07,0.130,0.35
2025-01-03,189.890,190.310,191.730,188.495,18596159,3566071920.000,1.72,1.26,2.360,0.32
2025-01-06,192.500,195.390,196.742,192.370,29563638,5816277504.000,2.30,2.67,5.080,0.51
2025-01-07,195.630,194.010,199.520,193.120,26487244,5219235328.000,3.28,-0.71,-1.380,0.45
2025-01-08,191.090,192.470,194.810,190.900,24864766,4832507904.000,2.02,-0.79,-1.540,0.43
2025-01-10,192.815,190.560,195.040,188.830,26665206,5141826560.000,3.23,-0.99,-1.910,0.46
2025-01-13,188.590,189.530,189.700,185.880,21823699,4148617312.000,2.00,-0.54,-1.030,0.37
2025-01-14,189.760,188.180,190.500,186.828,17174854,3264003136.000,1.94,-0.71,-1.350,0.29
2025-01-15,191.610,194.070,194.880,190.380,21775969,4241971360.000,2.39,3.13,5.890,0.37
2025-01-16,192.660,191.430,194.000,191.330,17815432,3454180432.000,1.38,-1.36,-2.640,0.31
2025-01-17,195.050,194.520,195.750,192.270,27735089,5434595328.000,1.82,1.61,3.090,0.48
2025-01-21,197.590,196.570,200.810,196.390,29971292,5963728896.000,2.27,1.05,2.050,0.51
2025-01-22,197.580,196.890,199.000,196.050,26200617,5210873856.000,1.50,0.16,0.320,0.45
