date,open,high,low,close,volume,quote_volume,trades
2026-07-07,366.46000000,374.13000000,366.00000000,366.47000000,910.77200000,337630.38586000,1784
2026-07-08,367.76000000,369.30000000,358.15000000,363.12000000,260.99600000,94942.98484000,1102
2026-07-09,362.62000000,363.92000000,351.17000000,358.10000000,784.72700000,280796.24915000,3124
2026-07-10,358.10000000,361.26000000,353.36000000,358.00000000,538.95200000,192818.89844000,2896
2026-07-11,357.78000000,360.02000000,356.79000000,359.61000000,207.55700000,74365.84242000,1897
2026-07-12,359.64000000,359.95000000,356.06000000,356.41000000,133.72500000,48012.79735000,1346
2026-07-13,356.37000000,358.58000000,352.34000000,352.87000000,231.81000000,82579.08315000,4083
2026-07-14,353.54000000,360.31000000,350.08000000,359.61000000,1441.82900000,512444.76999000,4950
2026-07-15,359.71000000,374.00000000,357.08000000,372.35000000,1260.22600000,462602.45822000,7564
2026-07-16,371.91000000,379.99000000,352.84000000,358.16000000,706.05600000,260512.22547000,5614
2026-07-17,358.19000000,358.19000000,342.36000000,346.14000000,1673.98700000,582381.66477000,4805
2026-07-18,346.03000000,347.79000000,345.17000000,346.32000000,151.84200000,52671.53254000,882
2026-07-19,346.27000000,349.22000000,345.14000000,349.15000000,446.17300000,154785.28236000,2303
2026-07-20,348.87000000,360.26000000,347.71000000,353.41000000,838.95500000,295851.38907000,4074
2026-07-21,353.40000000,357.78000000,347.16000000,349.19000000,5423.71900000,1921907.54838000,11692
2026-07-22,349.20000000,353.50000000,325.46000000,331.38000000,9697.09500000,3306352.03298000,35315
2026-07-23,331.55000000,336.91000000,315.69000000,319.60000000,9327.60200000,3038125.07749000,22466
2026-07-24,319.47000000,324.79000000,317.00000000,319.30000000,3659.48300000,1172318.41589000,17255
2026-07-25,319.14000000,321.06000000,315.11000000,319.93000000,939.91400000,299611.43735000,5006
2026-07-26,319.91000000,324.66000000,319.34000000,324.66000000,1260.44400000,404473.26074000,4910
2026-07-27,324.17000000,330.40000000,321.13000000,327.08000000,3451.23100000,1124858.42711000,14998
2026-07-28,327.08000000,336.02000000,323.46000000,335.55000000,3681.85000000,1205834.58863000,16033
2026-07-29,335.55000000,342.73000000,329.59000000,335.85000000,3232.20100000,1078762.42633000,12967
2026-07-30,335.85000000,338.09000000,331.20000000,335.87000000,2048.50600000,684424.99886000,6984
2026-07-31,335.87000000,358.89000000,335.80000000,354.73000000,7345.84300000,2528230.57677000,13155
2026-08-01,354.73000000,355.01000000,349.53000000,352.20000000,538.91300000,190280.83939000,2135
2026-08-02,352.32000000,358.72000000,352.17000000,358.38000000,1190.09000000,422802.33287000,4345
2026-08-03,358.38000000,376.88000000,358.00000000,371.14000000,3652.28900000,1341862.52367000,17798
2026-08-04,371.14000000,380.91000000,366.48000000,379.54000000,3920.64800000,1468583.29519000,26011
2026-08-05,379.31000000,384.59000000,357.05000000,365.16000000,4565.55300000,1689900.14943000,22524
2026-08-06,365.28000000,367.50000000,357.37000000,359.20000000,5518.14500000,1991682.43399000,21448
2026-08-07,359.43000000,360.07000000,354.30000000,355.26000000,9322.57100000,3332435.47980000,11224
