Period,Config,Leverage,final_equity,total_ret_pct,cagr_pct,max_dd_pct,sharpe,calmar,liquidated,liquidation_date,stop_count,tp_count,signal_exit_count,total_fees,total_funding
2020-2024 (训练牛熊期),1.0x 现货基准 (SL 5% + Trailing),1.0,94504563602.2,945045536.02,3784.95,-51.9,3.38,72.93,False,,392,0,441,18264005986.5,0.0
2020-2024 (训练牛熊期),3.0x 杠杆: 固定 SL 5% + 固定 TP 10%,3.0,19486373245.32,194863632.45,2611.07,-97.2,2.38,26.86,False,,230,143,452,17705621522.94,7431060045.55
2020-2024 (训练牛熊期),3.0x 杠杆: 紧止损 SL 3% + 固定 TP 8%,3.0,50635442625.01,506354326.25,3270.05,-91.54,2.46,35.72,False,,462,223,376,52320740902.34,15609042918.08
2020-2024 (训练牛熊期),3.0x 杠杆: 宽波段 SL 8% + 固定 TP 20%,3.0,1410425840298.02,14104258302.98,7092.21,-99.27,2.6,71.45,False,,114,49,501,928809535194.47,537942247328.96
2020-2024 (训练牛熊期),3.0x 杠杆: 让利润奔跑 (SL 5% + Trailing),3.0,5.209737983237637e+19,5.209737983237636e+17,381088.45,-93.57,2.97,4072.67,False,,392,0,441,2.82522320781508e+19,1.1185455249371326e+19
2020-2024 (训练牛熊期),3.0x 杠杆: 波动自适应 (SL 2.0x ATR + Trailing),3.0,3.934107890963263e+17,3934107890963162.0,125110.41,-99.71,2.83,1254.78,False,,319,0,460,2.023553878669484e+17,7.837716185335051e+16
2020-2024 (训练牛熊期),3.0x 杠杆: 紧凑自适应 (SL 1.5x ATR + Trailing),3.0,4.512149394293548e+18,4.512149394293538e+16,218203.27,-99.61,2.92,2190.55,False,,401,0,431,1.71805603345471e+18,6.034091792661661e+17
2020-2024 (训练牛熊期),3.0x 杠杆: 纯趋势结构门控 (EMA200 Gate),3.0,0.0,-100.0,-100.0,-100.0,3.75,-1.0,True,2021-02-20 20:00:00,52,0,82,4461113.62,1057610.09
2025 (分化震荡期),1.0x 现货基准 (SL 5% + Trailing),1.0,49875.03,398.75,401.14,-43.35,2.4,9.25,False,,49,0,105,4964.55,0.0
2025 (分化震荡期),3.0x 杠杆: 固定 SL 5% + 固定 TP 10%,3.0,33843.94,238.44,239.67,-88.72,1.53,2.7,False,,40,16,105,8825.28,2024.68
2025 (分化震荡期),3.0x 杠杆: 紧止损 SL 3% + 固定 TP 8%,3.0,83172.14,731.72,736.98,-79.94,1.93,9.22,False,,68,24,95,18901.44,3433.15
2025 (分化震荡期),3.0x 杠杆: 宽波段 SL 8% + 固定 TP 20%,3.0,49513.12,395.13,397.49,-88.48,1.72,4.49,False,,27,5,115,11186.76,3288.24
2025 (分化震荡期),3.0x 杠杆: 让利润奔跑 (SL 5% + Trailing),3.0,289787.9,2797.88,2827.05,-84.1,2.4,33.61,False,,49,0,105,43493.33,12310.73
2025 (分化震荡期),3.0x 杠杆: 波动自适应 (SL 2.0x ATR + Trailing),3.0,451133.93,4411.34,4462.75,-80.96,2.57,55.12,False,,53,0,103,72980.63,20798.97
2025 (分化震荡期),3.0x 杠杆: 紧凑自适应 (SL 1.5x ATR + Trailing),3.0,786559.18,7765.59,7868.4,-83.78,2.8,93.92,False,,69,0,92,95313.56,25995.89
2025 (分化震荡期),3.0x 杠杆: 纯趋势结构门控 (EMA200 Gate),3.0,0.0,-100.0,-100.0,-100.0,2.15,-1.0,True,2025-10-10 20:00:00,30,0,114,24709.46,9040.34
2026 (盲测弱势期),1.0x 现货基准 (SL 5% + Trailing),1.0,13719.15,37.19,57.1,-30.39,1.15,1.88,False,,14,0,83,1431.75,0.0
2026 (盲测弱势期),3.0x 杠杆: 固定 SL 5% + 固定 TP 10%,3.0,9870.93,-1.29,-1.84,-73.7,0.65,-0.02,False,,9,2,84,2755.35,700.35
2026 (盲测弱势期),3.0x 杠杆: 紧止损 SL 3% + 固定 TP 8%,3.0,10234.75,2.35,3.37,-71.22,0.78,0.05,False,,24,8,74,3308.95,674.76
2026 (盲测弱势期),3.0x 杠杆: 宽波段 SL 8% + 固定 TP 20%,3.0,12386.24,23.86,35.76,-73.7,0.85,0.49,False,,7,0,85,2726.31,761.28
2026 (盲测弱势期),3.0x 杠杆: 让利润奔跑 (SL 5% + Trailing),3.0,15913.41,59.13,94.2,-71.15,1.06,1.32,False,,14,0,83,3281.39,832.17
2026 (盲测弱势期),3.0x 杠杆: 波动自适应 (SL 2.0x ATR + Trailing),3.0,16783.37,67.83,109.54,-70.83,1.12,1.55,False,,22,0,80,3505.09,859.67
2026 (盲测弱势期),3.0x 杠杆: 紧凑自适应 (SL 1.5x ATR + Trailing),3.0,18596.92,85.97,142.62,-68.39,1.23,2.09,False,,38,0,70,4195.12,904.9
2026 (盲测弱势期),3.0x 杠杆: 纯趋势结构门控 (EMA200 Gate),3.0,14206.37,42.06,65.14,-71.15,0.96,0.92,False,,12,0,84,3133.09,812.91
2022 (极端熊市测试),1.0x 现货基准 (SL 5% + Trailing),1.0,20775.8,107.76,108.21,-41.91,1.69,2.58,False,,41,0,33,1763.63,0.0
2022 (极端熊市测试),3.0x 杠杆: 固定 SL 5% + 固定 TP 10%,3.0,13284.85,32.85,32.96,-89.1,0.99,0.37,False,,28,9,35,5273.53,1518.06
2022 (极端熊市测试),3.0x 杠杆: 紧止损 SL 3% + 固定 TP 8%,3.0,18626.54,86.27,86.61,-81.73,1.14,1.06,False,,49,17,24,7215.8,1473.94
2022 (极端熊市测试),3.0x 杠杆: 宽波段 SL 8% + 固定 TP 20%,3.0,9075.78,-9.24,-9.27,-86.76,0.8,-0.11,False,,18,2,39,3088.1,1240.59
2022 (极端熊市测试),3.0x 杠杆: 让利润奔跑 (SL 5% + Trailing),3.0,38275.19,282.75,284.28,-83.01,1.63,3.42,False,,41,0,33,8197.24,2244.57
2022 (极端熊市测试),3.0x 杠杆: 波动自适应 (SL 2.0x ATR + Trailing),3.0,50240.31,402.4,404.82,-85.8,1.85,4.72,False,,34,0,36,8542.99,2709.57
2022 (极端熊市测试),3.0x 杠杆: 紧凑自适应 (SL 1.5x ATR + Trailing),3.0,32353.12,223.53,224.66,-88.08,1.54,2.55,False,,44,0,34,6394.51,1663.12
2022 (极端熊市测试),3.0x 杠杆: 纯趋势结构门控 (EMA200 Gate),3.0,22000.41,120.0,120.52,-89.65,1.33,1.34,False,,27,0,38,4934.76,1893.26
2020-2026 (全周期),1.0x 现货基准 (SL 5% + Trailing),1.0,646640970583.35,6466409605.83,1816.31,-51.9,3.05,35.0,False,,455,0,629,132665468578.72,0.0
2020-2026 (全周期),3.0x 杠杆: 固定 SL 5% + 固定 TP 10%,3.0,65098337698.81,650983276.99,1214.46,-97.2,2.11,12.49,False,,279,161,641,53074279436.05,15995228735.34
2020-2026 (全周期),3.0x 杠杆: 紧止损 SL 3% + 固定 TP 8%,3.0,431032294562.27,4310322845.62,1692.84,-91.54,2.23,18.49,False,,554,255,545,287383867594.55,61410063162.42
2020-2026 (全周期),3.0x 杠杆: 宽波段 SL 8% + 固定 TP 20%,3.0,8649877045145.48,86498770351.45,2833.63,-99.27,2.33,28.55,False,,148,54,701,4410528716530.34,1533360859439.74
2020-2026 (全周期),3.0x 杠杆: 让利润奔跑 (SL 5% + Trailing),3.0,2.402477936232751e+21,2.402477936232751e+19,71317.31,-93.57,2.7,762.16,False,,455,0,629,7.502393019665597e+20,2.0095576242900936e+20
2020-2026 (全周期),3.0x 杠杆: 波动自适应 (SL 2.0x ATR + Trailing),3.0,2.978728781117542e+19,2.978728781117541e+17,34633.31,-99.71,2.59,347.35,False,,394,0,643,9.294360899636697e+18,2.4223857082006287e+18
2020-2026 (全周期),3.0x 杠杆: 紧凑自适应 (SL 1.5x ATR + Trailing),3.0,6.600180942532194e+20,6.600180942532194e+18,57666.16,-99.61,2.69,578.91,False,,508,0,593,1.9361296520803995e+20,4.444854478032475e+19
2020-2026 (全周期),3.0x 杠杆: 纯趋势结构门控 (EMA200 Gate),3.0,0.0,-100.0,-100.0,-100.0,3.75,-1.0,True,2021-02-20 20:00:00,52,0,82,4461113.62,1057610.09
