symbol,month,mode,trades,win_rate,avg_win_roe,avg_loss_roe,total_gross_roe,total_fee_roe,total_net_roe,profit_factor,avg_hold_min,liquidations
BTCUSDT,2026-07,Mode A: Net 2% ROE Scalp,611,37.3%,2.18%,-3.95%,-38.4%,977.6%,-1016.0%,0.33,14.0,0
BTCUSDT,2026-07,Mode B: Dynamic BB Band,366,36.9%,2.70%,-3.85%,59.6%,585.6%,-526.0%,0.41,10.7,0
BTCUSDT,2026-07,Mode C: 2% Price Move,343,34.7%,2.76%,-3.64%,60.7%,548.8%,-488.1%,0.4,20.8,0
BTCUSDT,2026-07,Mode D: Calibrated Wave Filter,231,58.9%,2.31%,-7.71%,-48.7%,369.6%,-418.3%,0.43,38.9,0
BTCUSDT,2026-08,Mode A: Net 2% ROE Scalp,554,42.1%,2.15%,-3.84%,154.7%,886.4%,-731.7%,0.41,12.6,0
BTCUSDT,2026-08,Mode B: Dynamic BB Band,353,39.9%,2.22%,-3.59%,116.7%,564.8%,-448.1%,0.41,8.8,0
BTCUSDT,2026-08,Mode C: 2% Price Move,327,36.7%,2.80%,-3.46%,144.3%,523.2%,-378.9%,0.47,18.4,0
BTCUSDT,2026-08,Mode D: Calibrated Wave Filter,207,64.7%,2.24%,-7.88%,56.1%,331.2%,-275.1%,0.52,34.8,0
ETHUSDT,2026-07,Mode A: Net 2% ROE Scalp,1051,32.4%,2.18%,-3.63%,-157.4%,1681.6%,-1839.0%,0.29,7.9,0
ETHUSDT,2026-07,Mode B: Dynamic BB Band,754,30.9%,2.50%,-3.46%,-11.7%,1206.4%,-1218.1%,0.32,7.3,0
ETHUSDT,2026-07,Mode C: 2% Price Move,668,28.0%,3.31%,-3.19%,154.2%,1068.8%,-914.6%,0.4,15.8,0
ETHUSDT,2026-07,Mode D: Calibrated Wave Filter,306,61.4%,2.41%,-8.06%,-7.3%,489.6%,-496.9%,0.48,28.1,0
ETHUSDT,2026-08,Mode A: Net 2% ROE Scalp,891,31.8%,2.16%,-3.33%,14.3%,1425.6%,-1411.3%,0.3,7.7,0
ETHUSDT,2026-08,Mode B: Dynamic BB Band,717,24.7%,2.31%,-2.89%,-6.7%,1147.2%,-1153.9%,0.26,5.3,0
ETHUSDT,2026-08,Mode C: 2% Price Move,675,22.2%,2.57%,-2.81%,-11.5%,1080.0%,-1091.5%,0.26,10.2,0
ETHUSDT,2026-08,Mode D: Calibrated Wave Filter,247,59.9%,2.22%,-7.91%,-58.5%,395.2%,-453.7%,0.42,31.0,0
SOLUSDT,2026-07,Mode A: Net 2% ROE Scalp,1230,31.1%,2.20%,-3.49%,-148.9%,1968.0%,-2116.9%,0.28,7.1,0
SOLUSDT,2026-07,Mode B: Dynamic BB Band,957,25.9%,2.47%,-3.25%,-158.9%,1531.2%,-1690.1%,0.27,6.0,0
SOLUSDT,2026-07,Mode C: 2% Price Move,844,22.9%,3.64%,-3.09%,43.3%,1350.4%,-1307.1%,0.35,12.0,0
SOLUSDT,2026-07,Mode D: Calibrated Wave Filter,324,60.5%,2.29%,-8.37%,-103.0%,518.4%,-621.4%,0.42,25.0,0
SOLUSDT,2026-08,Mode A: Net 2% ROE Scalp,1134,31.9%,2.24%,-3.31%,73.8%,1814.4%,-1740.6%,0.32,7.0,0
SOLUSDT,2026-08,Mode B: Dynamic BB Band,894,27.4%,2.59%,-3.06%,77.7%,1430.4%,-1352.7%,0.32,5.5,0
SOLUSDT,2026-08,Mode C: 2% Price Move,827,25.4%,2.75%,-2.97%,66.5%,1323.2%,-1256.7%,0.31,10.0,0
SOLUSDT,2026-08,Mode D: Calibrated Wave Filter,277,65.0%,2.15%,-8.45%,11.6%,443.2%,-431.6%,0.47,23.4,0
BNBUSDT,2026-07,Mode A: Net 2% ROE Scalp,450,40.9%,2.17%,-4.39%,-48.9%,720.0%,-768.9%,0.34,17.3,0
BNBUSDT,2026-07,Mode B: Dynamic BB Band,254,36.2%,2.48%,-4.13%,-34.1%,406.4%,-440.5%,0.34,13.6,0
BNBUSDT,2026-07,Mode C: 2% Price Move,245,34.7%,1.47%,-3.98%,-120.1%,392.0%,-512.1%,0.2,22.1,0
BNBUSDT,2026-07,Mode D: Calibrated Wave Filter,215,54.4%,2.20%,-7.46%,-130.1%,344.0%,-474.1%,0.35,44.1,0
BNBUSDT,2026-08,Mode A: Net 2% ROE Scalp,563,34.6%,2.18%,-3.47%,50.1%,900.8%,-850.7%,0.33,12.2,0
BNBUSDT,2026-08,Mode B: Dynamic BB Band,397,29.5%,2.41%,-3.24%,9.0%,635.2%,-626.2%,0.31,8.5,0
BNBUSDT,2026-08,Mode C: 2% Price Move,372,26.3%,2.72%,-3.08%,17.8%,595.2%,-577.4%,0.32,16.6,0
BNBUSDT,2026-08,Mode D: Calibrated Wave Filter,206,54.9%,2.33%,-7.84%,-135.6%,329.6%,-465.2%,0.36,35.2,0
