trade_id,day_idx,entry_time,exit_time,duration_min,direction,entry_price,exit_price,margin_allocated,leverage,net_margin_roe_pct,dollar_pnl,equity_before,equity_after,tau_dir,tau_vol,exit_reason
1,1,2026-09-01 09:02:00+00:00,2026-09-01 09:26:00+00:00,24,LONG (做多),2443.55,2452.05,3000.0,100X,30.78,923.26,10000.0,10923.26,0.764,1.0,Take-Profit (止盈)
2,2,2026-09-02 14:22:00+00:00,2026-09-02 14:30:00+00:00,8,SHORT (做空),2408.85,2398.01,3276.98,100X,41.0,1343.56,10923.26,12266.82,0.789,0.875,Take-Profit (止盈)
3,3,2026-09-03 10:23:00+00:00,2026-09-03 10:35:00+00:00,12,SHORT (做空),2397.81,2391.02,3680.05,100X,24.32,894.98,12266.82,13161.8,0.785,0.836,Take-Profit (止盈)
4,4,2026-09-04 08:15:00+00:00,2026-09-04 08:30:00+00:00,15,SHORT (做空),2512.62,2517.14,3948.54,100X,-22.0,-868.68,13161.8,12293.12,0.964,0.676,Stop-Loss (止损)
5,4,2026-09-04 10:16:00+00:00,2026-09-04 10:32:00+00:00,16,LONG (做多),2515.53,2522.36,3687.94,100X,23.13,853.07,12293.12,13146.19,0.743,1.0,Take-Profit (止盈)
6,6,2026-09-06 22:35:00+00:00,2026-09-06 22:56:00+00:00,21,SHORT (做空),2504.61,2509.12,3943.86,100X,-22.0,-867.65,13146.19,12278.54,0.761,0.897,Stop-Loss (止损)
7,7,2026-09-07 08:04:00+00:00,2026-09-07 09:11:00+00:00,67,SHORT (做空),2489.88,2494.36,3683.56,100X,-22.0,-810.38,12278.54,11468.16,0.807,0.848,Stop-Loss (止损)
8,7,2026-09-07 16:13:00+00:00,2026-09-07 16:34:00+00:00,21,SHORT (做空),2475.0,2473.52,3440.45,100X,2.0,68.81,11468.16,11536.97,0.799,1.0,Breakeven Lock (保本)
9,8,2026-09-08 08:02:00+00:00,2026-09-08 08:35:00+00:00,33,LONG (做多),2470.3,2480.54,3461.09,100X,37.47,1296.96,11536.97,12833.93,0.779,0.705,Take-Profit (止盈)
10,9,2026-09-09 08:23:00+00:00,2026-09-09 08:36:00+00:00,13,SHORT (做空),2517.98,2522.51,3850.18,100X,-22.0,-847.04,12833.93,11986.89,0.736,0.959,Stop-Loss (止损)
11,9,2026-09-09 14:30:00+00:00,2026-09-09 14:44:00+00:00,14,SHORT (做空),2511.59,2500.29,3596.07,100X,41.0,1474.39,11986.89,13461.28,0.82,0.904,Take-Profit (止盈)
12,10,2026-09-10 08:01:00+00:00,2026-09-10 09:38:00+00:00,97,SHORT (做空),2472.8,2465.11,4038.38,100X,27.1,1094.21,13461.28,14555.49,0.743,0.678,Take-Profit (止盈)
13,11,2026-09-11 10:14:00+00:00,2026-09-11 11:00:00+00:00,46,LONG (做多),2464.38,2459.94,4366.65,100X,-22.0,-960.66,14555.49,13594.83,0.797,0.707,Stop-Loss (止损)
14,11,2026-09-11 14:44:00+00:00,2026-09-11 14:46:00+00:00,2,LONG (做多),2600.39,2612.09,4078.45,100X,41.0,1672.16,13594.83,15266.99,0.944,0.878,Take-Profit (止盈)
15,14,2026-09-14 08:05:00+00:00,2026-09-14 08:10:00+00:00,5,LONG (做多),2515.5,2522.87,4580.1,100X,25.28,1157.78,15266.99,16424.77,0.928,0.657,Take-Profit (止盈)
16,15,2026-09-15 08:24:00+00:00,2026-09-15 09:49:00+00:00,85,SHORT (做空),2472.96,2477.41,4927.43,100X,-22.0,-1084.03,16424.77,15340.74,0.794,0.774,Stop-Loss (止损)
17,15,2026-09-15 13:06:00+00:00,2026-09-15 13:07:00+00:00,1,SHORT (做空),2484.89,2483.4,4602.22,100X,2.0,92.04,15340.74,15432.78,0.827,0.772,Breakeven Lock (保本)
18,16,2026-09-16 08:15:00+00:00,2026-09-16 08:54:00+00:00,39,LONG (做多),2386.92,2395.82,4629.83,100X,33.3,1541.6,15432.78,16974.38,0.716,0.655,Take-Profit (止盈)
19,17,2026-09-17 08:31:00+00:00,2026-09-17 08:38:00+00:00,7,LONG (做多),2435.9,2442.99,5092.31,100X,25.1,1277.97,16974.38,18252.35,0.829,0.863,Take-Profit (止盈)
20,18,2026-09-18 08:10:00+00:00,2026-09-18 08:20:00+00:00,10,LONG (做多),2485.36,2494.67,5475.7,100X,33.45,1831.58,18252.35,20083.93,0.824,0.656,Take-Profit (止盈)
21,19,2026-09-19 12:17:00+00:00,2026-09-19 12:50:00+00:00,33,SHORT (做空),2641.86,2640.27,6025.18,100X,2.0,120.5,20083.93,20204.44,0.857,0.749,Breakeven Lock (保本)
22,19,2026-09-19 13:29:00+00:00,2026-09-19 13:30:00+00:00,1,LONG (做多),2631.8,2627.06,6061.33,100X,-22.0,-1333.49,20204.44,18870.94,0.857,1.0,Stop-Loss (止损)
23,20,2026-09-20 12:33:00+00:00,2026-09-20 12:54:00+00:00,21,LONG (做多),2571.35,2579.31,5661.28,100X,26.98,1527.18,18870.94,20398.13,0.931,0.754,Take-Profit (止盈)
24,21,2026-09-21 10:23:00+00:00,2026-09-21 10:38:00+00:00,15,LONG (做多),2714.28,2709.39,6119.44,100X,-22.0,-1346.28,20398.13,19051.85,0.762,0.83,Stop-Loss (止损)
25,21,2026-09-21 11:04:00+00:00,2026-09-21 11:28:00+00:00,24,SHORT (做空),2717.69,2722.58,5715.56,100X,-22.0,-1257.42,19051.85,17794.43,1.0,0.759,Stop-Loss (止损)
