label,net_return,max_dd,sharpe,calmar,win_rate,win_be_rate,profit_factor,total_trades,liquidations,final_equity,leverage,tp_pct,sl_pct,friction_drag_pct,tp_count,be_count,sl_count
Lev 10x (30% Kelly),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10000.0,10.0,0.035,0.01,2.571428571428571,,,
Lev 10x (20% Sci),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10000.0,10.0,0.035,0.01,2.571428571428571,,,
Lev 15x (30% Kelly),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10000.0,15.0,0.025,0.0075,3.6000000000000005,,,
Lev 15x (20% Sci),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10000.0,15.0,0.025,0.0075,3.6000000000000005,,,
Lev 20x (30% Kelly),-2.366549890870683,8.108604005183938,-0.37905306447001025,-0.29185663640223597,0.0,0.0,0.7546787040364162,3,0,9763.345010912932,20.0,0.02,0.006,4.5,0.0,0.0,2.0
Lev 20x (20% Sci),-1.5047778159999505,5.44382400230397,-0.3790527997457525,-0.2764192625189736,0.0,0.0,0.7546787040364162,3,0,9849.522218400005,20.0,0.02,0.006,4.5,0.0,0.0,2.0
Lev 25x (30% Kelly),-1.9130531216122653,12.695560588391702,0.4627349256507568,-0.15068677812947326,28.57142857142857,28.57142857142857,0.9407942862884695,7,0,9808.694687838773,25.0,0.015,0.005,6.0,2.0,0.0,4.0
Lev 25x (20% Sci),-1.0865541291533556,8.591021304801227,0.4719670710359919,-0.1264755482035783,28.57142857142857,28.57142857142857,0.9407942862884695,7,0,9891.344587084664,25.0,0.015,0.005,6.0,2.0,0.0,4.0
Lev 30x (30% Kelly),6.933492725789929,11.008219571031516,0.6876944205549035,0.6298468776945219,35.294117647058826,47.05882352941176,1.2670468565052802,17,0,10693.349272578993,30.0,0.0125,0.004,7.200000000000001,6.0,2.0,6.0
Lev 30x (20% Sci),4.993534659413999,7.27179467661609,0.6880561784241536,0.6866990724410452,35.294117647058826,47.05882352941176,1.2670468565052802,17,0,10499.3534659414,30.0,0.0125,0.004,7.200000000000001,6.0,2.0,6.0
Lev 40x (30% Kelly),-8.051001018157804,25.839384160794822,0.04611894268099937,-0.3115786726207392,35.714285714285715,39.285714285714285,0.9467159038059896,28,0,9194.89989818422,40.0,0.01,0.0032,9.0,10.0,1.0,14.0
Lev 40x (20% Sci),-4.532833841525371,17.497139535069877,0.0464441821294596,-0.25906142157923123,35.714285714285715,39.285714285714285,0.9467159038059896,28,0,9546.716615847463,40.0,0.01,0.0032,9.0,10.0,1.0,14.0
Lev 50x (30% Kelly),-5.133685759260953,25.86444490842442,0.29118404801153175,-0.1984842813150356,39.53488372093023,48.837209302325576,1.0130638619176602,43,0,9486.631424073905,50.0,0.008,0.0025,11.25,17.0,4.0,19.0
Lev 50x (20% Sci),-2.0188729943763613,17.41602562479077,0.28760182997329375,-0.1159204193810214,39.53488372093023,48.837209302325576,1.0130638619176602,43,0,9798.112700562364,50.0,0.008,0.0025,11.25,17.0,4.0,19.0
Lev 75x (30% Kelly),-18.116127005245062,31.136867237633737,-0.06135123506962464,-0.5818224057990301,39.130434782608695,52.17391304347826,0.9364840490909625,46,0,8188.387299475494,75.0,0.006,0.002,15.0,18.0,6.0,20.0
Lev 75x (20% Sci),-10.385754124150262,21.731463870342914,-0.0730314400716716,-0.477913231529873,39.130434782608695,52.17391304347826,0.9364840490909625,46,0,8961.424587584974,75.0,0.006,0.002,15.0,18.0,6.0,20.0
Lev 100x (30% Kelly),-38.74301489314199,52.16863801726224,-0.7013410733194583,-0.7426495374543264,29.166666666666668,56.25,0.8058956620208312,48,0,6125.698510685801,100.0,0.0045,0.0018,20.000000000000004,14.0,13.0,19.0
Lev 100x (20% Sci),-25.462713741611488,37.90717525907019,-0.7166120632367179,-0.6717122435948041,29.166666666666668,56.25,0.8058956620208312,48,0,7453.728625838851,100.0,0.0045,0.0018,20.000000000000004,14.0,13.0,19.0
