trade_id,day_idx,entry_time,exit_time,duration_min,direction,entry_price,exit_price,margin_allocated,leverage,net_margin_roe_pct,dollar_pnl,equity_before,equity_after,tau_dir,tau_vol,exit_reason
1,1,2026-09-01 09:02:00+00:00,2026-09-01 09:26:00+00:00,24,LONG (做多),2443.55,2452.05,3000.0,100X,30.78,923.26,10000.0,10923.26,0.764,1.0,Take-Profit (止盈)
2,2,2026-09-02 13:29:00+00:00,2026-09-02 13:38:00+00:00,9,SHORT (做空),2387.32,2378.87,3276.98,100X,31.38,1028.43,10923.26,11951.69,0.739,0.365,Take-Profit (止盈)
3,3,2026-09-03 10:23:00+00:00,2026-09-03 10:35:00+00:00,12,SHORT (做空),2397.81,2391.02,3585.51,100X,24.32,871.99,11951.69,12823.67,0.785,0.836,Take-Profit (止盈)
4,4,2026-09-04 08:15:00+00:00,2026-09-04 08:30:00+00:00,15,SHORT (做空),2512.62,2517.14,3847.1,100X,-22.0,-846.36,12823.67,11977.31,0.964,0.676,Stop-Loss (止损)
5,4,2026-09-04 08:31:00+00:00,2026-09-04 08:41:00+00:00,10,SHORT (做空),2516.39,2520.92,3593.19,100X,-22.0,-790.5,11977.31,11186.81,0.706,0.614,Stop-Loss (止损)
6,6,2026-09-06 22:03:00+00:00,2026-09-06 22:09:00+00:00,6,LONG (做多),2501.19,2496.69,3356.04,100X,-22.0,-738.33,11186.81,10448.48,0.706,0.387,Stop-Loss (止损)
7,6,2026-09-06 22:35:00+00:00,2026-09-06 22:56:00+00:00,21,SHORT (做空),2504.61,2509.12,3134.54,100X,-22.0,-689.6,10448.48,9758.88,0.761,0.897,Stop-Loss (止损)
8,7,2026-09-07 08:04:00+00:00,2026-09-07 09:11:00+00:00,67,SHORT (做空),2489.88,2494.36,2927.66,100X,-22.0,-644.09,9758.88,9114.79,0.807,0.848,Stop-Loss (止损)
9,7,2026-09-07 16:13:00+00:00,2026-09-07 16:34:00+00:00,21,SHORT (做空),2475.0,2473.52,2734.44,100X,2.0,54.69,9114.79,9169.48,0.799,1.0,Breakeven Lock (保本)
10,8,2026-09-08 08:02:00+00:00,2026-09-08 08:35:00+00:00,33,LONG (做多),2470.3,2480.54,2750.84,100X,37.47,1030.82,9169.48,10200.3,0.779,0.705,Take-Profit (止盈)
