Strategy Mode,Period,Leverage,leverage,sl_mode,final_equity,total_ret_pct,cagr_pct,max_dd_pct,sharpe,calmar,win_rate,trade_count,stop_count,liquidated,liquidation_date,total_fees,total_slippage_cost,total_funding
让利润奔跑 (SL 5% + 移动追踪),2020-2024 (训练牛熊期),1.0x,1.0,FIXED_5PCT,94504563602.2,945045536.02,3784.95,-51.9,3.38,72.93,50.18,833,392,False,,18264005986.5,5748304272.22,0.0
让利润奔跑 (SL 5% + 移动追踪),2020-2024 (训练牛熊期),3.0x,3.0,FIXED_5PCT,5.209737983237637e+19,5.209737983237636e+17,381088.45,-93.57,2.97,4072.67,50.18,833,392,False,,2.82522320781508e+19,9.235046513635305e+18,1.1185455249371326e+19
让利润奔跑 (SL 5% + 移动追踪),2020-2024 (训练牛熊期),5.0x,5.0,FIXED_5PCT,0.0,-100.0,-100.0,-100.0,2.85,-1.0,45.76,118,64,True,2021-01-22 00:00:00,364504.22,282917.88,187733.52
让利润奔跑 (SL 5% + 移动追踪),2025 (分化震荡期),1.0x,1.0,FIXED_5PCT,49875.03,398.75,401.14,-43.35,2.4,9.25,43.51,154,49,False,,4964.55,1498.32,0.0
让利润奔跑 (SL 5% + 移动追踪),2025 (分化震荡期),3.0x,3.0,FIXED_5PCT,289787.9,2797.88,2827.05,-84.1,2.4,33.61,43.51,154,49,False,,43493.33,15395.87,12310.73
让利润奔跑 (SL 5% + 移动追踪),2025 (分化震荡期),5.0x,5.0,FIXED_5PCT,0.0,-100.0,-100.0,-100.0,2.59,-1.0,43.71,151,46,True,2025-10-10 20:00:00,75717.39,24798.45,27600.45
让利润奔跑 (SL 5% + 移动追踪),2026 (盲测弱势期),1.0x,1.0,FIXED_5PCT,13719.15,37.19,57.1,-30.39,1.15,1.88,46.39,97,14,False,,1431.75,212.06,0.0
让利润奔跑 (SL 5% + 移动追踪),2026 (盲测弱势期),3.0x,3.0,FIXED_5PCT,15913.41,59.13,94.2,-71.15,1.06,1.32,46.39,97,14,False,,3281.39,562.44,832.17
让利润奔跑 (SL 5% + 移动追踪),2026 (盲测弱势期),5.0x,5.0,FIXED_5PCT,11702.62,17.03,25.18,-90.78,1.07,0.28,46.39,97,14,False,,3810.06,683.68,1057.65
让利润奔跑 (SL 5% + 移动追踪),2022 (极端熊市测试),1.0x,1.0,FIXED_5PCT,20775.8,107.76,108.21,-41.91,1.69,2.58,47.3,74,41,False,,1763.63,949.16,0.0
让利润奔跑 (SL 5% + 移动追踪),2022 (极端熊市测试),3.0x,3.0,FIXED_5PCT,38275.19,282.75,284.28,-83.01,1.63,3.42,47.3,74,41,False,,8197.24,4694.75,2244.57
让利润奔跑 (SL 5% + 移动追踪),2022 (极端熊市测试),5.0x,5.0,FIXED_5PCT,27343.46,173.43,174.25,-95.96,1.61,1.82,47.3,74,41,False,,13914.14,8455.3,3968.73
让利润奔跑 (SL 5% + 移动追踪),2020-2026 (全周期),1.0x,1.0,FIXED_5PCT,646640970583.35,6466409605.83,1816.31,-51.9,3.05,35.0,48.89,1084,455,False,,132665468578.72,29903467166.55,0.0
让利润奔跑 (SL 5% + 移动追踪),2020-2026 (全周期),3.0x,3.0,FIXED_5PCT,2.402477936232751e+21,2.402477936232751e+19,71317.31,-93.57,2.7,762.16,48.89,1084,455,False,,7.502393019665597e+20,1.74355960720626e+20,2.0095576242900936e+20
让利润奔跑 (SL 5% + 移动追踪),2020-2026 (全周期),5.0x,5.0,FIXED_5PCT,0.0,-100.0,-100.0,-100.0,2.85,-1.0,45.76,118,64,True,2021-01-22 00:00:00,364504.22,282917.88,187733.52
波动自适应 (SL 2.0x ATR + 移动追踪),2020-2024 (训练牛熊期),1.0x,1.0,ATR_2X,36898076432.27,368980664.32,3035.58,-74.94,3.11,40.5,51.99,779,319,False,,7041045110.78,2287979097.25,0.0
