period,leverage,final_equity,total_ret_pct,cagr_pct,max_dd_pct,sharpe,calmar,win_rate,trade_count,stop_count,liquidated,liquidation_date,total_fees,total_slippage,total_funding
2026 近期样本外走势 (2026 OOS),1.0x,9152.24,-8.48,-11.53,-30.23,-0.12,-0.38,33.33,96,34,False,,1273.01,1079.34,0.0
2026 近期样本外走势 (2026 OOS),3.0x,5579.03,-44.21,-55.37,-69.95,-0.16,-0.79,32.29,96,34,False,,2301.39,1987.78,201.73
2026 近期样本外走势 (2026 OOS),5.0x,2638.38,-73.62,-84.15,-88.53,-0.1,-0.95,32.29,96,34,False,,2171.46,1923.77,184.55
2025 (分化震荡期),1.0x,10966.81,9.67,9.7,-36.77,0.43,0.26,36.08,158,57,False,,2228.6,1949.35,0.0
2025 (分化震荡期),3.0x,5601.4,-43.99,-44.08,-81.22,0.16,-0.54,36.08,158,57,False,,3908.06,3471.61,390.87
2025 (分化震荡期),5.0x,1429.24,-85.71,-85.79,-95.68,0.03,-0.9,36.08,158,57,False,,3431.49,3106.84,293.71
2022 (极端熊市测试),1.0x,8766.56,-12.33,-12.37,-41.26,-0.19,-0.3,35.0,80,38,False,,1129.94,1047.93,0.0
2022 (极端熊市测试),3.0x,3871.1,-61.29,-61.4,-84.22,-0.39,-0.73,35.0,80,38,False,,2272.95,2149.1,346.0
2022 (极端熊市测试),5.0x,979.29,-90.21,-90.27,-97.25,-0.51,-0.93,35.0,80,38,False,,2580.18,2489.93,400.16
2020-2024 (训练牛熊期),1.0x,105686.68,956.87,75.05,-58.34,1.09,1.29,38.12,850,399,False,,95946.48,106273.76,0.0
2020-2024 (训练牛熊期),3.0x,2483.31,-75.17,-28.16,-97.84,0.89,-0.29,37.88,850,399,False,,44812.8,67560.69,13453.3
2020-2024 (训练牛熊期),5.0x,0.0,-100.0,-100.0,-100.0,2.26,-1.0,42.57,148,84,True,2021-02-22 12:00:00,3973.05,7882.88,1393.45
2020-2026 (全周期),1.0x,98744.12,887.44,47.07,-69.95,0.89,0.67,37.16,1141,498,False,,140099.44,143790.25,0.0
2020-2026 (全周期),3.0x,544.33,-94.56,-38.76,-99.65,0.69,-0.39,36.9,1141,498,False,,46238.36,68801.9,13569.99
2020-2026 (全周期),5.0x,0.0,-100.0,-100.0,-100.0,2.26,-1.0,42.57,148,84,True,2021-02-22 12:00:00,3973.05,7882.88,1393.45
