Period,Configuration,Total Return (%),CAGR (%),Max Drawdown (%),Sharpe,Calmar,Win Rate (%),Profit Factor,Trades,Stop-Outs,Fees Paid ($),Funding Paid ($),Liquidated,Liquidation Date
2020-2024 (训练牛熊期),1.0x 现货基准,28462292.22,1648.95,-63.44,2.82,25.99,39.04,1.1,835,394,726079905.52,0.0,False,
2020-2024 (训练牛熊期),2.0x 杠杆,131159893340.76,11854.4,-89.56,2.65,132.36,39.04,1.02,835,394,6438702451327.76,2216858705842.01,False,
2020-2024 (训练牛熊期),3.0x 杠杆,45112353393990.57,45135.37,-97.55,2.49,462.7,39.04,1.0,835,394,3823566146592067.0,1459134466620609.0,False,
2020-2024 (训练牛熊期),4.0x 杠杆,-100.0,-100.0,-100.0,3.3,-1.0,37.72,0.9,167,98,60607253.23,1371085.44,True,2021-02-23 08:00:00
2020-2024 (训练牛熊期),5.0x 杠杆,-100.0,-100.0,-100.0,2.41,-1.0,33.9,0.87,118,64,84290.4,45415.51,True,2021-01-22 00:00:00
2020-2024 (训练牛熊期),动态风控推荐杠杆 (Dynamic Safe),125327222558.69,11731.13,-77.42,2.99,151.52,39.04,1.02,835,394,7266570263183.11,2407332234506.8,False,
2025 (分化震荡期),1.0x 现货基准,92.46,92.83,-44.47,1.3,2.09,38.31,1.24,154,50,2969.89,0.0,False,
2025 (分化震荡期),2.0x 杠杆,149.38,150.06,-70.92,1.29,2.12,38.31,1.24,154,50,6105.7,1326.98,False,
2025 (分化震荡期),3.0x 杠杆,149.31,149.99,-85.5,1.33,1.75,38.31,1.21,154,50,8357.56,2094.19,False,
2025 (分化震荡期),4.0x 杠杆,-100.0,-100.0,-100.0,1.27,-1.0,38.41,1.29,151,47,8427.97,2292.08,True,2025-10-10 20:00:00
2025 (分化震荡期),5.0x 杠杆,-100.0,-100.0,-100.0,1.42,-1.0,38.41,1.16,151,47,7734.97,2038.72,True,2025-10-10 20:00:00
2025 (分化震荡期),动态风控推荐杠杆 (Dynamic Safe),86.32,86.67,-80.55,1.09,1.08,38.31,1.19,154,50,6078.89,1315.46,False,
2026 (盲测弱势期),1.0x 现货基准,10.93,15.97,-26.22,0.59,0.61,40.21,1.07,97,14,1376.64,0.0,False,
2026 (盲测弱势期),2.0x 杠杆,6.43,9.31,-47.86,0.47,0.19,40.21,1.07,97,14,2329.88,476.87,False,
2026 (盲测弱势期),3.0x 杠杆,-4.47,-6.32,-64.67,0.45,-0.1,40.21,1.05,97,14,2930.77,698.47,False,
2026 (盲测弱势期),4.0x 杠杆,-20.91,-28.48,-77.22,0.45,-0.37,40.21,1.02,97,14,3234.08,813.65,False,
2026 (盲测弱势期),5.0x 杠杆,-39.61,-51.35,-85.94,0.45,-0.6,40.21,0.99,97,14,3314.59,843.86,False,
2026 (盲测弱势期),动态风控推荐杠杆 (Dynamic Safe),-12.7,-17.64,-61.53,0.19,-0.29,40.21,1.02,97,14,2579.52,517.07,False,
2022 (极端熊市测试),1.0x 现货基准,27.36,27.45,-40.65,0.76,0.68,35.14,0.95,74,41,1375.69,0.0,False,
2022 (极端熊市测试),2.0x 杠杆,24.71,24.79,-66.3,0.7,0.37,35.14,0.94,74,41,2842.95,699.31,False,
2022 (极端熊市测试),3.0x 杠杆,1.69,1.7,-83.01,0.69,0.02,35.14,0.92,74,41,4109.69,1134.61,False,
2022 (极端熊市测试),4.0x 杠杆,-32.16,-32.24,-92.22,0.69,-0.35,35.14,0.89,74,41,4965.75,1435.71,False,
2022 (极端熊市测试),5.0x 杠杆,-63.1,-63.21,-96.79,0.69,-0.65,35.14,0.85,74,41,5415.8,1610.28,False,
2022 (极端熊市测试),动态风控推荐杠杆 (Dynamic Safe),35.96,36.08,-69.88,0.8,0.52,35.14,1.0,74,41,3633.75,987.64,False,
2020-2026 (全周期),1.0x 现货基准,60764902.53,790.52,-63.44,2.46,12.46,39.04,1.15,1086,458,2325476556.63,0.0,False,
2020-2026 (全周期),2.0x 杠杆,348121359881.47,3587.2,-89.56,2.31,40.05,39.04,1.13,1086,458,22067555301410.8,5517088132316.68,False,
2020-2026 (全周期),3.0x 杠杆,107442373579451.23,9350.38,-97.55,2.18,95.85,39.04,1.1,1086,458,1.0890065290775784e+16,3189435402201808.5,False,
2020-2026 (全周期),4.0x 杠杆,-100.0,-100.0,-100.0,3.3,-1.0,37.72,0.9,167,98,60607253.23,1371085.44,True,2021-02-23 08:00:00
2020-2026 (全周期),5.0x 杠杆,-100.0,-100.0,-100.0,2.41,-1.0,33.9,0.87,118,64,84290.4,45415.51,True,2021-01-22 00:00:00
2020-2026 (全周期),动态风控推荐杠杆 (Dynamic Safe),203846654389.77,3277.02,-80.74,2.53,40.59,39.04,1.09,1086,458,20908617026817.98,5263394896027.64,False,
