Period,Config,SL Mode,SL Val,TP Mode,TP Val,final_equity,total_ret_pct,cagr_pct,max_dd_pct,sharpe,calmar,trade_count,stop_count,tp_count,signal_exit_count,win_rate
2020-2024 (训练样本内),基准固定型: SL 5% + TP 10% (当前基准),FIXED_PCT,0.05,FIXED_PCT,0.1,49616153.72,496061.54,595.12,-61.44,2.44,9.69,825,230,143,452,46.18
2020-2024 (训练样本内),紧止损高频: SL 3% + TP 8%,FIXED_PCT,0.03,FIXED_PCT,0.08,38062024.43,380520.24,554.38,-49.41,2.5,11.22,1061,462,223,376,41.19
2020-2024 (训练样本内),宽止损长波段: SL 8% + TP 20%,FIXED_PCT,0.08,FIXED_PCT,0.2,611735880.81,6117258.81,1132.08,-71.45,2.71,15.84,664,114,49,501,45.03
2020-2024 (训练样本内),超宽止损: SL 12% + TP 30%,FIXED_PCT,0.12,FIXED_PCT,0.3,740054265.68,7400442.66,1186.71,-80.24,2.61,14.79,619,73,21,525,45.88
2020-2024 (训练样本内),让利润奔跑: SL 5% + 无固定TP (移动追踪止盈),FIXED_PCT,0.05,TRAILING_ONLY,0.0,94504563602.2,945045536.02,3784.95,-51.9,3.38,72.93,833,392,0,441,50.18
2020-2024 (训练样本内),让利润奔跑: SL 8% + 无固定TP (移动追踪止盈),FIXED_PCT,0.08,TRAILING_ONLY,0.0,17032375115.15,170323651.15,2529.18,-59.62,3.04,42.42,783,315,0,468,52.11
2020-2024 (训练样本内),波动率自适应: SL 1.5x ATR + TP 3.0x ATR,ATR_MULT,1.5,ATR_MULT,3.0,9463534.26,94535.34,376.55,-79.42,1.93,4.74,879,270,179,430,45.73
2020-2024 (训练样本内),波动率自适应: SL 2.0x ATR + TP 4.0x ATR,ATR_MULT,2.0,ATR_MULT,4.0,174436483.1,1744264.83,825.71,-79.96,2.37,10.33,747,155,120,472,47.66
2020-2024 (训练样本内),波动率自适应: SL 2.0x ATR + 无固定TP (移动追踪),ATR_MULT,2.0,TRAILING_ONLY,0.0,36898076432.27,368980664.32,3035.58,-74.94,3.11,40.5,779,319,0,460,51.99
2020-2024 (训练样本内),纯结构门控: 仅EMA200门控止损 + 纯趋势离场,EMA_GATE_ONLY,0.0,NONE,0.0,4186680256.31,41866702.56,1809.7,-63.15,2.87,28.66,584,51,0,533,46.06
2020-2024 (训练样本内),无任何止损止盈: 纯信号翻转离场,NONE,0.0,NONE,0.0,2041973937.27,20419639.37,1521.5,-63.15,2.73,24.09,586,0,0,586,46.08
2025 (验证分化期),基准固定型: SL 5% + TP 10% (当前基准),FIXED_PCT,0.05,FIXED_PCT,0.1,23268.58,132.69,133.27,-47.13,1.52,2.83,161,40,16,105,43.48
2025 (验证分化期),紧止损高频: SL 3% + TP 8%,FIXED_PCT,0.03,FIXED_PCT,0.08,29326.78,193.27,194.21,-38.29,1.91,5.07,187,68,24,95,43.85
2025 (验证分化期),宽止损长波段: SL 8% + TP 20%,FIXED_PCT,0.08,FIXED_PCT,0.2,28493.58,184.94,185.82,-47.81,1.74,3.89,147,27,5,115,42.18
2025 (验证分化期),超宽止损: SL 12% + TP 30%,FIXED_PCT,0.12,FIXED_PCT,0.3,25979.06,159.79,160.53,-49.85,1.64,3.22,138,20,0,118,40.58
2025 (验证分化期),让利润奔跑: SL 5% + 无固定TP (移动追踪止盈),FIXED_PCT,0.05,TRAILING_ONLY,0.0,49875.03,398.75,401.14,-43.35,2.4,9.25,154,49,0,105,43.51
2025 (验证分化期),让利润奔跑: SL 8% + 无固定TP (移动追踪止盈),FIXED_PCT,0.08,TRAILING_ONLY,0.0,51798.67,417.99,420.53,-36.91,2.44,11.39,150,39,0,111,45.33
2025 (验证分化期),波动率自适应: SL 1.5x ATR + TP 3.0x ATR,ATR_MULT,1.5,ATR_MULT,3.0,19272.54,92.73,93.1,-46.06,1.37,2.02,193,67,36,90,46.11
2025 (验证分化期),波动率自适应: SL 2.0x ATR + TP 4.0x ATR,ATR_MULT,2.0,ATR_MULT,4.0,24714.89,147.15,147.82,-54.64,1.63,2.71,175,47,25,103,44.57
2025 (验证分化期),波动率自适应: SL 2.0x ATR + 无固定TP (移动追踪),ATR_MULT,2.0,TRAILING_ONLY,0.0,58814.94,488.15,491.26,-38.63,2.66,12.72,156,53,0,103,43.59
2025 (验证分化期),纯结构门控: 仅EMA200门控止损 + 纯趋势离场,EMA_GATE_ONLY,0.0,NONE,0.0,25627.41,156.27,156.99,-49.85,1.62,3.15,138,20,0,118,40.58
2025 (验证分化期),无任何止损止盈: 纯信号翻转离场,NONE,0.0,NONE,0.0,22645.08,126.45,127.0,-58.02,1.45,2.19,143,0,0,143,40.56
2026 (样本外盲测期),基准固定型: SL 5% + TP 10% (当前基准),FIXED_PCT,0.05,FIXED_PCT,0.1,11682.66,16.83,24.88,-32.59,0.67,0.76,95,9,2,84,47.37
2026 (样本外盲测期),紧止损高频: SL 3% + TP 8%,FIXED_PCT,0.03,FIXED_PCT,0.08,11921.12,19.21,28.54,-28.43,0.72,1.0,106,24,8,74,45.28
2026 (样本外盲测期),宽止损长波段: SL 8% + TP 20%,FIXED_PCT,0.08,FIXED_PCT,0.2,12586.32,25.86,38.9,-32.59,0.89,1.19,92,7,0,85,46.74
2026 (样本外盲测期),超宽止损: SL 12% + TP 30%,FIXED_PCT,0.12,FIXED_PCT,0.3,12586.32,25.86,38.9,-32.59,0.89,1.19,92,7,0,85,46.74
2026 (样本外盲测期),让利润奔跑: SL 5% + 无固定TP (移动追踪止盈),FIXED_PCT,0.05,TRAILING_ONLY,0.0,13719.15,37.19,57.1,-30.39,1.15,1.88,97,14,0,83,46.39
2026 (样本外盲测期),让利润奔跑: SL 8% + 无固定TP (移动追踪止盈),FIXED_PCT,0.08,TRAILING_ONLY,0.0,13221.05,32.21,49.02,-30.39,1.05,1.61,96,12,0,84,46.88
2026 (样本外盲测期),波动率自适应: SL 1.5x ATR + TP 3.0x ATR,ATR_MULT,1.5,ATR_MULT,3.0,8882.93,-11.17,-15.57,-34.4,-0.17,-0.45,122,40,20,62,44.26
2026 (样本外盲测期),波动率自适应: SL 2.0x ATR + TP 4.0x ATR,ATR_MULT,2.0,ATR_MULT,4.0,9702.67,-2.97,-4.22,-31.87,0.15,-0.13,111,22,15,74,45.05
2026 (样本外盲测期),波动率自适应: SL 2.0x ATR + 无固定TP (移动追踪),ATR_MULT,2.0,TRAILING_ONLY,0.0,14094.21,40.94,63.28,-30.72,1.21,2.06,102,22,0,80,47.06
2026 (样本外盲测期),纯结构门控: 仅EMA200门控止损 + 纯趋势离场,EMA_GATE_ONLY,0.0,NONE,0.0,12586.32,25.86,38.9,-32.59,0.89,1.19,92,7,0,85,46.74
2026 (样本外盲测期),无任何止损止盈: 纯信号翻转离场,NONE,0.0,NONE,0.0,11707.85,17.08,25.26,-37.15,0.68,0.68,92,0,0,92,46.74
2020-2026 (全周期),基准固定型: SL 5% + TP 10% (当前基准),FIXED_PCT,0.05,FIXED_PCT,0.1,134876013.9,1348660.14,376.55,-61.44,2.16,6.13,1081,279,161,641,45.88
2020-2026 (全周期),紧止损高频: SL 3% + TP 8%,FIXED_PCT,0.03,FIXED_PCT,0.08,133067941.89,1330579.42,375.5,-49.41,2.26,7.6,1354,554,255,545,41.88
2020-2026 (全周期),宽止损长波段: SL 8% + TP 20%,FIXED_PCT,0.08,FIXED_PCT,0.2,2193865004.08,21938550.04,653.35,-71.45,2.42,9.14,903,148,54,701,44.74
2020-2026 (全周期),超宽止损: SL 12% + TP 30%,FIXED_PCT,0.12,FIXED_PCT,0.3,2419835378.01,24198253.78,665.57,-80.24,2.33,8.29,849,100,21,728,45.11
2020-2026 (全周期),让利润奔跑: SL 5% + 无固定TP (移动追踪止盈),FIXED_PCT,0.05,TRAILING_ONLY,0.0,646640970583.35,6466409605.83,1816.31,-51.9,3.05,35.0,1084,455,0,629,48.89
