Factor,Horizon,Rank_IC,p_value,t_stat
F1_Volatility_Squeeze,5m,-0.0070228990538073145,0.016353388426169124,-2.400966442805517
F1_Volatility_Squeeze,15m,-0.005038799875335655,0.08495840961810695,-1.7226282982708665
F1_Volatility_Squeeze,30m,-0.007522943696119244,0.010114894408908413,-2.5719184693407215
F1_Volatility_Squeeze,1h,-0.005359995727253339,0.06689085010502749,-1.8324237843494098
F2_Taker_Flow_ZScore,5m,-0.04424488541049655,1.0535037446879739e-51,-15.135766693217535
F2_Taker_Flow_ZScore,15m,-0.033572987913335926,1.722051095198063e-30,-11.480233795889419
F2_Taker_Flow_ZScore,30m,-0.02836793958377124,3.1111559410836485e-22,-9.69876854871822
F2_Taker_Flow_ZScore,1h,-0.017746548208076068,1.3162746816143542e-09,-6.065888426177136
F2_CVD_Momentum,5m,-0.035609931767569776,4.0841244734460465e-34,-12.181636262479952
F2_CVD_Momentum,15m,-0.05245829961447449,5.143224471561153e-72,-17.9585615971902
F2_CVD_Momentum,30m,-0.04407426892452629,2.3713282471002562e-51,-15.082191158906117
F2_CVD_Momentum,1h,-0.03840075166093729,2.1387367752308e-39,-13.137581067165641
F3_Funding_Contrarian,5m,0.002851547133598456,0.4772183875585936,0.7107878360652213
F3_Funding_Contrarian,15m,0.0007985675532919897,0.8422216726795518,0.19905333835480388
F3_Funding_Contrarian,30m,0.0041055915217783545,0.30613204079998935,1.0233803290016004
F3_Funding_Contrarian,1h,0.008078510450907447,0.044041270738743934,2.0137387626948167
