universe,token_count,final_equity,total_ret_pct,cagr_pct,max_dd_pct,sharpe,calmar,win_rate,trade_count,stop_count,liquidated,total_fees,total_slippage,total_funding,holding_pcts,period,leverage
Core-4 (Baseline),4,2.0129411602600435e+21,2.012941160260043e+19,82125.88,-99.61,2.77,824.46,49.03,1083,499,False,3.2206723571190294e+20,1.181058544314875e+20,7.397738888894626e+19,"{'BTCUSDT': 14.3, 'ETHUSDT': 10.0, 'SOLUSDT': 13.4, 'BNBUSDT': 10.9, 'USDT_CASH': 51.4}",2020-2026 (全周期),3.0x
Top-6 (High-Beta L1),6,1.0647711712582982e+17,1064771171258198.2,15564.37,-99.68,2.47,156.15,46.24,1408,599,False,9928448383764116.0,3035077359852778.0,1614457394793840.8,"{'BTCUSDT': 11.7, 'ETHUSDT': 7.7, 'SOLUSDT': 8.8, 'BNBUSDT': 7.8, 'AVAXUSDT': 6.0, 'NEARUSDT': 5.8, 'USDT_CASH': 52.0}",2020-2026 (全周期),3.0x
Top-7 (Bluechip L1+DeFi),7,1.2688476383953012e+16,126884763839430.12,10846.05,-99.68,2.42,108.81,46.61,1534,620,False,1746492060469380.5,544714416547473.25,291312559245477.06,"{'BTCUSDT': 10.4, 'ETHUSDT': 6.5, 'SOLUSDT': 7.8, 'BNBUSDT': 7.3, 'AVAXUSDT': 5.4, 'NEARUSDT': 5.2, 'LINKUSDT': 5.1, 'USDT_CASH': 52.2}",2020-2026 (全周期),3.0x
Top-10 (Broad Liquid),10,0.0,-100.0,-100.0,-100.0,4.4,-1.0,56.14,114,75,True,767218.37,524907.82,113761.73,"{'BTCUSDT': 32.3, 'ETHUSDT': 5.5, 'SOLUSDT': 1.2, 'BNBUSDT': 1.2, 'AVAXUSDT': 11.3, 'NEARUSDT': 1.8, 'LINKUSDT': 0.0, 'ADAUSDT': 2.3, 'DOTUSDT': 5.6, 'XRPUSDT': 21.3, 'USDT_CASH': 17.4}",2020-2026 (全周期),3.0x
Core-4 (Baseline),4,6.378398310293262e+18,6.378398310293253e+16,327615.82,-99.61,3.0,3288.94,50.81,807,390,False,2.428653119206511e+18,8.744962647995827e+17,8.529824155012118e+17,"{'BTCUSDT': 15.0, 'ETHUSDT': 9.2, 'SOLUSDT': 15.7, 'BNBUSDT': 11.1, 'USDT_CASH': 49.1}",2020-2024 (训练牛熊期),3.0x
Top-6 (High-Beta L1),6,737502116016180.6,7375021160061.81,38023.86,-99.68,2.69,381.47,47.02,1074,480,False,1700435118642321.5,557245702557392.5,370765490563314.8,"{'BTCUSDT': 11.8, 'ETHUSDT': 6.8, 'SOLUSDT': 9.6, 'BNBUSDT': 7.8, 'AVAXUSDT': 7.5, 'NEARUSDT': 6.5, 'USDT_CASH': 50.0}",2020-2024 (训练牛熊期),3.0x
Top-7 (Bluechip L1+DeFi),7,154214629157127.6,1542146291471.28,26189.14,-99.68,2.64,262.74,47.05,1171,496,False,735293548224626.2,240085002167887.1,143956942292411.0,"{'BTCUSDT': 10.3, 'ETHUSDT': 5.7, 'SOLUSDT': 8.5, 'BNBUSDT': 7.2, 'AVAXUSDT': 6.7, 'NEARUSDT': 5.9, 'LINKUSDT': 5.6, 'USDT_CASH': 50.1}",2020-2024 (训练牛熊期),3.0x
Top-10 (Broad Liquid),10,0.0,-100.0,-100.0,-100.0,4.4,-1.0,56.14,114,75,True,767218.37,524907.82,113761.73,"{'BTCUSDT': 32.3, 'ETHUSDT': 5.5, 'SOLUSDT': 1.2, 'BNBUSDT': 1.2, 'AVAXUSDT': 11.3, 'NEARUSDT': 1.8, 'LINKUSDT': 0.0, 'ADAUSDT': 2.3, 'DOTUSDT': 5.6, 'XRPUSDT': 21.3, 'USDT_CASH': 17.4}",2020-2024 (训练牛熊期),3.0x
Core-4 (Baseline),4,468252.84,4582.53,4636.42,-77.99,2.62,59.45,44.37,151,64,False,56242.78,26034.47,15628.28,"{'BTCUSDT': 16.0, 'ETHUSDT': 12.9, 'SOLUSDT': 4.7, 'BNBUSDT': 8.7, 'USDT_CASH': 57.7}",2025 (分化震荡期),3.0x
Top-6 (High-Beta L1),6,59315.01,493.15,496.3,-84.06,1.71,5.9,45.56,180,69,False,13461.72,5356.67,3117.81,"{'BTCUSDT': 14.8, 'ETHUSDT': 11.9, 'SOLUSDT': 4.0, 'BNBUSDT': 7.9, 'AVAXUSDT': 2.2, 'NEARUSDT': 1.6, 'USDT_CASH': 57.5}",2025 (分化震荡期),3.0x
Top-7 (Bluechip L1+DeFi),7,28584.62,185.85,186.74,-91.29,1.41,2.05,47.06,204,76,False,7471.02,3014.58,1571.02,"{'BTCUSDT': 14.0, 'ETHUSDT': 10.7, 'SOLUSDT': 3.7, 'BNBUSDT': 7.5, 'AVAXUSDT': 2.2, 'NEARUSDT': 1.4, 'LINKUSDT': 3.1, 'USDT_CASH': 57.6}",2025 (分化震荡期),3.0x
Top-10 (Broad Liquid),10,14465.65,44.66,44.82,-94.18,1.14,0.48,45.12,215,80,False,5437.0,2287.62,1081.26,"{'BTCUSDT': 12.6, 'ETHUSDT': 8.4, 'SOLUSDT': 3.2, 'BNBUSDT': 7.0, 'AVAXUSDT': 1.5, 'NEARUSDT': 1.1, 'LINKUSDT': 1.8, 'ADAUSDT': 1.4, 'DOTUSDT': 0.4, 'XRPUSDT': 4.3, 'USDT_CASH': 58.3}",2025 (分化震荡期),3.0x
Core-4 (Baseline),4,67620.36,576.2,1305.1,-57.17,2.27,22.83,45.16,93,35,False,6998.51,2659.31,1782.34,"{'BTCUSDT': 14.0, 'ETHUSDT': 10.3, 'SOLUSDT': 7.8, 'BNBUSDT': 11.2, 'USDT_CASH': 56.7}",2026 (盲测弱势期),3.0x
Top-6 (High-Beta L1),6,259244.84,2492.45,8908.78,-76.52,2.13,116.42,44.0,125,42,False,13811.23,3980.64,1933.95,"{'BTCUSDT': 13.1, 'ETHUSDT': 7.3, 'SOLUSDT': 6.7, 'BNBUSDT': 6.4, 'AVAXUSDT': 2.2, 'NEARUSDT': 7.5, 'USDT_CASH': 56.8}",2026 (盲测弱势期),3.0x
Top-7 (Bluechip L1+DeFi),7,285305.3,2753.05,10184.52,-73.46,2.15,138.64,44.27,131,41,False,15813.4,4499.71,2230.81,"{'BTCUSDT': 12.4, 'ETHUSDT': 5.0, 'SOLUSDT': 5.7, 'BNBUSDT': 6.2, 'AVAXUSDT': 2.2, 'NEARUSDT': 6.9, 'LINKUSDT': 4.8, 'USDT_CASH': 56.7}",2026 (盲测弱势期),3.0x
Top-10 (Broad Liquid),10,380393.94,3703.94,15207.69,-72.0,2.31,211.22,38.96,154,45,False,21537.47,6289.14,2782.03,"{'BTCUSDT': 11.5, 'ETHUSDT': 4.5, 'SOLUSDT': 5.0, 'BNBUSDT': 4.2, 'AVAXUSDT': 1.6, 'NEARUSDT': 6.2, 'LINKUSDT': 4.1, 'ADAUSDT': 1.5, 'DOTUSDT': 0.9, 'XRPUSDT': 3.5, 'USDT_CASH': 57.0}",2026 (盲测弱势期),3.0x
Core-4 (Baseline),4,35427.45,254.27,255.61,-88.08,1.59,2.9,45.12,82,45,False,7176.32,4176.07,1838.11,"{'BTCUSDT': 5.7, 'ETHUSDT': 7.5, 'SOLUSDT': 3.9, 'BNBUSDT': 7.0, 'USDT_CASH': 75.8}",2022 (极端熊市压力测),3.0x
Top-6 (High-Beta L1),6,6340.75,-36.59,-36.68,-87.58,0.52,-0.42,45.74,129,49,False,5287.39,1829.76,871.32,"{'BTCUSDT': 3.8, 'ETHUSDT': 4.8, 'SOLUSDT': 2.1, 'BNBUSDT': 4.9, 'AVAXUSDT': 3.1, 'NEARUSDT': 5.4, 'USDT_CASH': 76.1}",2022 (极端熊市压力测),3.0x
Top-7 (Bluechip L1+DeFi),7,1431.33,-85.69,-85.77,-95.97,-0.35,-0.89,40.99,161,48,False,4439.61,1333.98,617.69,"{'BTCUSDT': 3.7, 'ETHUSDT': 4.2, 'SOLUSDT': 1.9, 'BNBUSDT': 3.7, 'AVAXUSDT': 3.1, 'NEARUSDT': 4.5, 'LINKUSDT': 2.7, 'USDT_CASH': 76.2}",2022 (极端熊市压力测),3.0x
Top-10 (Broad Liquid),10,1212.84,-87.87,-87.95,-97.92,-0.1,-0.9,38.51,174,50,False,9084.16,2762.6,1282.5,"{'BTCUSDT': 2.7, 'ETHUSDT': 2.9, 'SOLUSDT': 1.6, 'BNBUSDT': 3.6, 'AVAXUSDT': 2.2, 'NEARUSDT': 4.0, 'LINKUSDT': 1.9, 'ADAUSDT': 2.1, 'DOTUSDT': 0.8, 'XRPUSDT': 2.3, 'USDT_CASH': 76.0}",2022 (极端熊市压力测),3.0x
Core-4 (Baseline),4,902712370891.5,9027123608.91,2088.74,-75.18,3.08,27.78,49.03,1083,499,False,142834228991.58,51433396706.16,0.0,"{'BTCUSDT': 14.3, 'ETHUSDT': 10.0, 'SOLUSDT': 13.4, 'BNBUSDT': 10.9, 'USDT_CASH': 51.4}",2020-2026 (全周期),1.0x
Top-6 (High-Beta L1),6,168952166388.89,1689521563.89,1551.12,-77.17,2.64,20.1,46.24,1408,599,False,22797360059.81,7494990167.71,0.0,"{'BTCUSDT': 11.7, 'ETHUSDT': 7.7, 'SOLUSDT': 8.8, 'BNBUSDT': 7.8, 'AVAXUSDT': 6.0, 'NEARUSDT': 5.8, 'USDT_CASH': 52.0}",2020-2026 (全周期),1.0x
Top-7 (Bluechip L1+DeFi),7,91843805636.3,918437956.36,1389.97,-77.17,2.56,18.01,46.61,1534,620,False,14369165638.59,4673326864.9,0.0,"{'BTCUSDT': 10.4, 'ETHUSDT': 6.5, 'SOLUSDT': 7.8, 'BNBUSDT': 7.3, 'AVAXUSDT': 5.4, 'NEARUSDT': 5.2, 'LINKUSDT': 5.1, 'USDT_CASH': 52.2}",2020-2026 (全周期),1.0x
Top-10 (Broad Liquid),10,772537806439.75,7725377964.4,2033.07,-74.28,2.68,27.37,45.55,1642,683,False,100954638081.24,35355654749.1,0.0,"{'BTCUSDT': 8.3, 'ETHUSDT': 4.5, 'SOLUSDT': 6.1, 'BNBUSDT': 6.0, 'AVAXUSDT': 4.4, 'NEARUSDT': 4.1, 'LINKUSDT': 3.8, 'ADAUSDT': 2.6, 'DOTUSDT': 1.6, 'XRPUSDT': 5.9, 'USDT_CASH': 52.6}",2020-2026 (全周期),1.0x
Core-4 (Baseline),4,2999497011722.86,29994970017.23,31719.09,-89.11,3.23,355.97,46.22,608,249,False,479914523143.07,175990315740.8,110234197318.02,"{'BTCUSDT': 14.6, 'ETHUSDT': 10.0, 'SOLUSDT': 14.8, 'BNBUSDT': 10.5, 'USDT_CASH': 50.1}",2023-2026 (包含SUI周期),3.0x
Top-6 (High-Beta L1),6,63605287176.22,636052771.76,10100.05,-96.59,2.61,104.57,43.87,775,292,False,5930828835.68,1813022160.17,964406977.15,"{'BTCUSDT': 12.1, 'ETHUSDT': 8.1, 'SOLUSDT': 10.6, 'BNBUSDT': 7.8, 'AVAXUSDT': 5.0, 'NEARUSDT': 6.1, 'USDT_CASH': 50.4}",2023-2026 (包含SUI周期),3.0x
Top-7 (+SUI Next-Gen L1),7,106930056865193.05,1069300568551.93,91290.6,-88.81,3.09,1027.99,45.95,803,327,False,3795380283678.88,1374749352707.63,641761561494.76,"{'BTCUSDT': 10.2, 'ETHUSDT': 7.2, 'SOLUSDT': 8.8, 'BNBUSDT': 6.8, 'AVAXUSDT': 3.8, 'NEARUSDT': 4.7, 'SUIUSDT': 7.5, 'USDT_CASH': 51.0}",2023-2026 (包含SUI周期),3.0x
Top-8 (+LINK+SUI),8,48608281720836.95,486082817108.37,72313.17,-90.49,3.04,799.13,46.65,851,325,False,1788361040953.01,637968881143.66,300598814986.14,"{'BTCUSDT': 9.3, 'ETHUSDT': 5.7, 'SOLUSDT': 7.7, 'BNBUSDT': 6.5, 'AVAXUSDT': 3.4, 'NEARUSDT': 4.4, 'LINKUSDT': 5.2, 'SUIUSDT': 6.8, 'USDT_CASH': 50.9}",2023-2026 (包含SUI周期),3.0x
