universe,tokens,period,leverage,delta_buffer,final_equity,total_ret_pct,cagr_pct,max_dd_pct,sharpe,calmar,win_rate,trade_count,stop_count,liquidated,liquidation_date,total_fees,total_slippage,total_funding
Core-4 (Baseline),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",2026 近期样本外走势 (2026 OOS),3.0x,0.0,5579.03,-44.21,-55.37,-69.95,-0.16,-0.79,32.29,96,34,False,,2301.39,1987.78,201.73
Top-5 (+NEAR),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT",2026 近期样本外走势 (2026 OOS),3.0x,0.0,15071.77,50.72,76.34,-69.05,1.08,1.11,33.9,118,37,False,,3557.52,2956.09,306.79
Top-6 (+NEAR+AVAX),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT,AVAXUSDT",2026 近期样本外走势 (2026 OOS),3.0x,0.0,11405.25,14.05,19.94,-72.14,0.83,0.28,34.11,129,37,False,,3242.02,4286.64,258.27
Top-7 (+NEAR+AVAX+LINK),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT,AVAXUSDT,LINKUSDT",2026 近期样本外走势 (2026 OOS),3.0x,0.0,10693.33,6.93,9.71,-73.88,0.78,0.13,36.84,133,39,False,,3317.28,4255.58,282.5
Top-10 (Broad Liquid),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT,AVAXUSDT,LINKUSDT,ADAUSDT,DOTUSDT,XRPUSDT",2026 近期样本外走势 (2026 OOS),3.0x,0.0,8373.99,-16.26,-21.76,-79.05,0.65,-0.28,32.7,159,41,False,,3676.62,4097.72,265.04
Core-4 (Baseline),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",2025 (分化震荡期),3.0x,0.0,5601.4,-43.99,-44.08,-81.22,0.16,-0.54,36.08,158,57,False,,3908.06,3471.61,390.87
Top-5 (+NEAR),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT",2025 (分化震荡期),3.0x,0.0,2764.94,-72.35,-72.46,-91.0,-0.36,-0.8,36.21,174,61,False,,2805.56,2484.4,236.87
Top-6 (+NEAR+AVAX),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT,AVAXUSDT",2025 (分化震荡期),3.0x,0.0,1850.99,-81.49,-81.58,-91.65,-0.71,-0.89,36.7,188,61,False,,2757.84,2432.48,222.16
Top-7 (+NEAR+AVAX+LINK),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT,AVAXUSDT,LINKUSDT",2025 (分化震荡期),3.0x,0.0,804.48,-91.96,-92.02,-95.94,-1.19,-0.96,38.68,212,68,False,,2070.87,2007.83,142.88
Top-10 (Broad Liquid),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT,AVAXUSDT,LINKUSDT,ADAUSDT,DOTUSDT,XRPUSDT",2025 (分化震荡期),3.0x,0.0,290.92,-97.09,-97.12,-98.42,-1.98,-0.99,35.14,222,74,False,,1723.65,1712.76,114.01
Core-4 (Baseline),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",2022 (极端熊市测试),3.0x,0.0,3871.1,-61.29,-61.4,-84.22,-0.39,-0.73,35.0,80,38,False,,2272.95,2149.1,346.0
Top-5 (+NEAR),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT",2022 (极端熊市测试),3.0x,0.0,1297.45,-87.03,-87.1,-93.29,-1.1,-0.93,29.2,113,40,False,,2558.21,2222.7,306.35
Top-6 (+NEAR+AVAX),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT,AVAXUSDT",2022 (极端熊市测试),3.0x,0.0,565.21,-94.35,-94.4,-97.08,-1.77,-0.97,29.77,131,41,False,,2235.89,1822.56,230.08
Top-7 (+NEAR+AVAX+LINK),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT,AVAXUSDT,LINKUSDT",2022 (极端熊市测试),3.0x,0.0,283.91,-97.16,-97.19,-98.25,-2.32,-0.99,29.45,163,36,False,,2271.02,1769.43,208.6
Top-10 (Broad Liquid),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT,AVAXUSDT,LINKUSDT,ADAUSDT,DOTUSDT,XRPUSDT",2022 (极端熊市测试),3.0x,0.0,223.75,-97.76,-97.79,-98.83,-2.15,-0.99,29.89,174,41,False,,3518.7,3453.98,348.28
Core-4 (Baseline),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",2020-2024 (训练牛熊期),3.0x,0.0,2483.31,-75.17,-28.16,-97.84,0.89,-0.29,37.88,850,399,False,,44812.8,67560.69,13453.3
Top-5 (+NEAR),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT",2020-2024 (训练牛熊期),3.0x,0.0,0.26,-100.0,-91.84,-100.0,0.16,-0.92,36.08,1056,451,False,,7278.76,13170.09,1839.11
Top-6 (+NEAR+AVAX),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT,AVAXUSDT",2020-2024 (训练牛熊期),3.0x,0.0,0.07,-100.0,-94.03,-100.0,0.11,-0.94,35.25,1149,496,False,,6449.03,13619.96,1429.8
Top-7 (+NEAR+AVAX+LINK),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT,AVAXUSDT,LINKUSDT",2020-2024 (训练牛熊期),3.0x,0.0,0.01,-100.0,-96.03,-100.0,-0.01,-0.96,35.58,1234,500,False,,5833.85,12276.52,1273.77
Top-10 (Broad Liquid),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT,AVAXUSDT,LINKUSDT,ADAUSDT,DOTUSDT,XRPUSDT",2020-2024 (训练牛熊期),3.0x,0.0,0.0,-100.0,-100.0,-100.0,1.3,-1.0,39.84,123,74,True,2021-02-01 12:00:00,10536.33,36600.02,2190.05
Core-4 (Baseline),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",2020-2026 (全周期),3.0x,0.0,544.33,-94.56,-38.76,-99.65,0.69,-0.39,36.9,1141,498,False,,46238.36,68801.9,13569.99
Top-5 (+NEAR),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT",2020-2026 (全周期),3.0x,0.0,0.07,-100.0,-86.53,-100.0,0.16,-0.87,35.77,1381,558,False,,7278.86,13170.18,1839.12
Top-6 (+NEAR+AVAX),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT,AVAXUSDT",2020-2026 (全周期),3.0x,0.0,0.01,-100.0,-90.46,-100.0,0.06,-0.9,35.38,1501,599,False,,6449.06,13619.98,1429.81
Top-7 (+NEAR+AVAX+LINK),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT,AVAXUSDT,LINKUSDT",2020-2026 (全周期),3.0x,0.0,0.0,-100.0,-93.77,-100.0,-0.08,-0.94,36.18,1614,611,False,,5833.85,12276.53,1273.77
Top-10 (Broad Liquid),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT,AVAXUSDT,LINKUSDT,ADAUSDT,DOTUSDT,XRPUSDT",2020-2026 (全周期),3.0x,0.0,0.0,-100.0,-100.0,-100.0,1.3,-1.0,39.84,123,74,True,2021-02-01 12:00:00,10536.33,36600.02,2190.05
Core-4 Baseline (Delta 0.00),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",2023-2026 (SUI周期),3.0x,0.0,2200.02,-78.0,-36.05,-99.57,0.49,-0.36,35.61,629,244,False,,66435.26,71329.7,18011.07
Core-4 Baseline (Delta 0.30),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",2023-2026 (SUI周期),3.0x,0.3,1194.1,-88.06,-46.6,-99.38,0.38,-0.47,33.33,444,258,False,,28232.0,37335.33,9518.57
+SUI (Delta 0.00),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,SUIUSDT",2023-2026 (SUI周期),3.0x,0.0,862.48,-91.38,-51.49,-99.24,0.48,-0.52,35.58,711,287,False,,25290.83,32098.76,4626.57
+SUI (Delta 0.30),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,SUIUSDT",2023-2026 (SUI周期),3.0x,0.3,802.84,-91.97,-52.51,-98.92,0.47,-0.53,33.79,512,305,False,,11653.63,21348.58,2373.67
+NEAR (Delta 0.00),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT",2023-2026 (SUI周期),3.0x,0.0,30.6,-99.69,-81.9,-99.98,-0.09,-0.82,35.18,759,267,False,,12699.42,16643.08,2062.47
+NEAR (Delta 0.30),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT",2023-2026 (SUI周期),3.0x,0.3,40.3,-99.6,-80.37,-99.93,-0.03,-0.8,33.4,521,294,False,,6848.55,13682.22,1449.41
+NEAR+SUI (Top-6) (Delta 0.00),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT,SUIUSDT",2023-2026 (SUI周期),3.0x,0.0,24.33,-99.76,-83.08,-99.98,0.03,-0.83,35.25,817,305,False,,8150.21,11354.8,906.9
+NEAR+SUI (Top-6) (Delta 0.30),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT,SUIUSDT",2023-2026 (SUI周期),3.0x,0.3,78.14,-99.22,-76.13,-99.91,0.22,-0.76,34.74,567,325,False,,4199.93,9829.03,579.11
+NEAR+SUI+AVAX (Top-7) (Delta 0.00),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT,SUIUSDT,AVAXUSDT",2023-2026 (SUI周期),3.0x,0.0,121.15,-98.79,-72.83,-99.98,0.3,-0.73,35.87,842,312,False,,43055.01,56269.11,6014.75
+NEAR+SUI+AVAX (Top-7) (Delta 0.30),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT,SUIUSDT,AVAXUSDT",2023-2026 (SUI周期),3.0x,0.3,555.48,-94.45,-57.4,-99.83,0.54,-0.57,35.43,587,331,False,,17724.42,30424.65,3596.45
Core-4 (Baseline),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT",2020-2026 (全周期),1.0x,0.0,98744.12,887.44,47.07,-69.95,0.89,0.67,37.16,1141,498,False,,140099.44,143790.25,0.0
Top-5 (+NEAR),"BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,NEARUSDT",2020-2026 (全周期),1.0x,0.0,9156.75,-8.43,-1.47,-93.33,0.34,-0.02,36.06,1381,558,False,,39574.01,47477.14,0.0
