symbol,mode,leverage,entry_time,exit_time,entry_price,exit_price,margin,notional,coins,realized_pnl,pnl_on_margin,fees_paid,exit_reason,tp1_hit,tp2_hit,equity_before,equity_after
LOOMUSDT,MAKER,3.0,2023-10-16 20:15:00,2023-10-16 23:12:00,0.2791794276399497,0.3210563417859421,10000.0,30000.0,107457.77457030324,-4512.899999999997,-45.12899999999997,12.899999999999999,STOP_LOSS,False,False,50000.0,45487.100000000006
GASUSDT,MAKER,3.0,2023-11-10 11:30:00,2023-11-10 13:12:00,25.483672329745065,24.59174379820399,9097.420000000002,27292.260000000006,1070.970449111603,944.5032418200001,10.382099999999998,10.725858180000003,BREAK_EVEN,True,False,45487.100000000006,46431.603241820005
BIGTIMEUSDT,MAKER,3.0,2023-12-05 22:00:00,2023-12-06 22:01:00,0.7826209317382685,0.6562368730190351,9286.320648364,27858.961945092,35597.00592624688,4488.650281251089,48.33615434162149,10.243805960594463,TIME_EXIT,True,True,46431.603241820005,50920.25352307109
BAKEUSDT,MAKER,3.0,2023-12-27 02:15:00,2023-12-27 19:30:00,0.8002763652963331,0.7722666925109614,10184.05070461422,30552.152113842658,38177.001644337644,1057.3183282037526,10.382099999999998,12.006995780740166,BREAK_EVEN,True,False,50920.25352307109,51977.57185127484
AUCTIONUSDT,MAKER,3.0,2023-12-28 04:00:00,2023-12-29 04:01:00,40.50959992732157,32.71340395530276,10395.514370254969,31186.543110764906,769.8556185871203,5990.671044475178,57.62746152914266,11.274228189772973,TIME_EXIT,True,True,51977.57185127484,57968.24289575002
BAKEUSDT,MAKER,3.0,2023-12-28 07:00:00,2023-12-29 07:01:00,0.6833907855333841,0.642643097443016,10395.514370254969,31186.543110764906,45635.00675008944,1847.4183080143923,17.771302527371535,12.102713040095066,TIME_EXIT,True,False,51977.57185127484,59815.661203764415
TRBUSDT,MAKER,3.0,2024-01-01 02:48:00,2024-01-01 04:48:00,157.96376746921547,152.43503560779294,11963.132240752884,35889.39672225865,227.20018202435506,1242.0243523672045,10.382099999999994,14.104532911847649,BREAK_EVEN,True,False,59815.661203764415,61057.68555613162
ENAUSDT,MAKER,3.0,2024-06-19 08:45:00,2024-06-20 05:59:00,0.641801019877176,0.6329,12211.537111226324,36634.61133367897,57080.949077784084,493.52643354842286,4.041476753116637,14.552228801001705,FINAL_BAR,False,False,61057.68555613162,61551.21198968004
LEVERUSDT,MAKER,3.0,2025-04-26 08:15:00,2025-04-27 08:16:00,0.0008676126519086243,0.0007887479853512167,12310.24239793601,36930.72719380803,42565915.92177188,3342.845864356842,27.154996273000425,14.100901524346977,TIME_EXIT,True,False,61551.21198968004,64894.05785403689
LEVERUSDT,MAKER,3.0,2025-06-30 12:43:00,2025-07-01 05:46:00,0.000359518998353824,0.00034693583341144016,12978.811570807378,38936.43471242214,108301466.37786992,1347.4731960927936,10.382100000000007,15.302018841981901,BREAK_EVEN,True,False,64894.05785403689,66241.53105012968
LEVERUSDT,MAKER,3.0,2025-08-30 14:40:00,2025-08-31 14:41:00,0.0001925663702758928,0.00016803840663690624,13248.306210025936,39744.91863007781,206395948.43655545,5047.5868454976435,38.09986548829748,14.88547298833393,TIME_EXIT,True,False,66241.53105012968,71289.11789562732
LEVERUSDT,MAKER,3.0,2025-09-03 06:47:00,2025-09-03 07:54:00,0.00021352067812632905,0.00024554877984527836,14257.823579125465,42773.470737376396,200324723.17303884,-6434.413203023523,-45.12899999999995,18.39259241707185,STOP_LOSS,False,False,71289.11789562732,64854.7046926038
BNTUSDT,MAKER,3.0,2026-04-19 23:19:00,2026-04-20 23:20:00,0.308063080484527,0.316,12970.940938520762,38912.822815562286,126314.46375969336,-1018.3133711735404,-7.850728609436343,15.765638672725078,FINAL_BAR,False,False,64854.7046926038,63836.39132143026
INJUSDT,MAKER,3.0,2026-05-13 15:22:00,2026-05-14 15:23:00,5.545383911531276,5.104695932132352,12767.278264286053,38301.83479285816,6906.976217320483,3029.1094233288377,23.72556907294936,14.711969638549785,TIME_EXIT,True,False,63836.39132143026,66865.50074475909
MRVLUSDT,MAKER,3.0,2026-06-03 09:21:00,2026-06-03 22:00:00,325.1763555227756,293.4265519896743,13373.100148951818,40119.30044685546,123.3770529913128,3901.932912227063,29.177474697464937,15.26428074014874,TIME_EXIT,True,False,66865.50074475909,70767.43365698615
AVGOUSDT,MAKER,3.0,2026-06-04 13:52:00,2026-06-05 13:53:00,406.8739374655195,404.0,14153.48673139723,42460.46019419169,104.35777837893586,282.99352856974565,1.9994615739595114,16.924200531856357,FINAL_BAR,False,False,70767.43365698615,71050.42718555589
SPCXUSDT,MAKER,3.0,2026-06-16 05:52:00,2026-06-17 05:53:00,208.9905244824857,204.46,14210.085437111178,42630.256311333535,203.9817662398667,907.2771122830443,6.384740727269604,16.867273647347336,FINAL_BAR,False,False,71050.42718555589,71957.70429783894
KORUUSDT,MAKER,3.0,2026-06-23 06:04:00,2026-06-23 14:20:00,820.6855496365106,791.9615553992327,14391.540859567787,43174.62257870336,52.607996568022685,1494.1441635811873,10.3821,16.96762667343042,BREAK_EVEN,True,False,71957.70429783894,73451.84846142013
KORUUSDT,MAKER,3.0,2026-06-25 14:03:00,2026-06-25 22:00:00,797.6838682410647,814.56,14690.369692284026,44071.10907685208,55.24884083970661,-950.2016385135792,-6.468194187193692,17.8149209742487,FINAL_BAR,False,False,73451.84846142013,72501.64682290655
SKHYNIXUSDT,MAKER,3.0,2026-06-25 14:06:00,2026-06-26 14:00:00,1839.5798630391942,1764.45,14690.369692284026,44071.10907685208,23.957159981106567,1782.6296841874953,12.134682254618848,17.268464001103112,FINAL_BAR,False,False,73451.84846142013,74284.27650709405
SKHYUSDT,MAKER,3.0,2026-07-15 09:50:00,2026-07-16 09:51:00,181.49455537906033,164.654784944404,14856.855301418811,44570.56590425644,245.57522296560694,4118.429238894494,27.720733327066792,17.001140285866505,TIME_EXIT,True,False,74284.27650709405,78402.70574598854
