symbol,mode,leverage,entry_time,exit_time,entry_price,exit_price,margin,notional,coins,realized_pnl,pnl_on_margin,fees_paid,exit_reason,tp1_hit,tp2_hit,equity_before,equity_after
LOOMUSDT,TAKER,5.0,2023-10-16 20:17:00,2023-10-16 23:12:00,0.27973939999999997,0.32234371061999995,10000.0,50000.0,178737.78237888552,-7668.807499999996,-76.68807499999997,53.807500000000005,STOP_LOSS,False,False,50000.0,42331.192500000005
GASUSDT,TAKER,5.0,2023-11-10 11:33:00,2023-11-10 13:12:00,25.42405,24.5832766665,8466.238500000001,42331.192500000005,1665.005870425837,1358.261289742987,16.043267499999992,41.6312462320125,BREAK_EVEN,True,False,42331.192500000005,43689.45378974299
BIGTIMEUSDT,TAKER,5.0,2023-12-05 22:01:00,2023-12-06 22:02:00,0.7774420000000001,0.69914472846,8737.890757948599,43689.45378974299,56196.4156679765,4358.536576349093,49.88087740035274,41.489440781177855,TIME_EXIT,True,False,43689.45378974299,48047.99036609208
BAKEUSDT,TAKER,5.0,2023-12-27 02:16:00,2023-12-27 19:19:00,0.796903,0.7705494177900001,9609.598073218416,48047.99036609208,60293.39877763301,1541.6935245612735,16.04326749999997,47.25351684538875,BREAK_EVEN,True,False,48047.99036609208,49589.68389065336
AUCTIONUSDT,TAKER,5.0,2023-12-28 04:00:00,2023-12-29 04:01:00,39.46092,32.1326027316,9917.936778130672,49589.68389065336,1256.678351408263,9164.35264839069,92.40180547025007,44.98501505892855,TIME_EXIT,True,True,49589.68389065336,58754.03653904405
BAKEUSDT,TAKER,5.0,2023-12-28 07:00:00,2023-12-29 07:01:00,0.682632,0.64368888816,9917.936778130672,49589.68389065336,72644.8275068461,2780.840466127065,28.038497606265206,48.17517606955505,TIME_EXIT,True,False,49589.68389065336,61534.87700517112
TRBUSDT,TAKER,5.0,2024-01-01 02:46:00,2024-01-01 04:47:00,153.39759,148.32473169870002,12306.975401034224,61534.87700517112,401.14630878601884,1974.440984747118,16.043267499999995,60.51739781389062,BREAK_EVEN,True,False,61534.87700517112,63509.317989918236
ENAUSDT,TAKER,5.0,2024-06-19 08:43:00,2024-06-20 05:59:00,0.6387200000000001,0.6341658,12701.863597983647,63509.317989918236,99432.17370666056,389.551104507709,3.066881497369789,63.2829009871708,FINAL_BAR,False,False,63509.317989918236,63898.86909442594
LEVERUSDT,TAKER,5.0,2025-04-26 08:16:00,2025-04-27 08:17:00,0.0008653657999999999,0.000789616307454,12779.773818885189,63898.86909442594,73840298.62796281,5532.26296399411,43.28920873246489,61.1021865191693,TIME_EXIT,True,False,63898.86909442594,69431.13205842006
LEVERUSDT,TAKER,5.0,2025-06-30 12:27:00,2025-07-01 05:46:00,0.0003634716,0.000351451594188,13886.226411684012,69431.13205842006,191022165.30375427,2227.8044488821206,16.04326750000002,68.28308828983408,BREAK_EVEN,True,False,69431.13205842006,71658.93650730218
LEVERUSDT,TAKER,5.0,2025-08-30 14:30:00,2025-08-31 14:31:00,0.0001914164,0.000167816128332,14331.787301460436,71658.93650730218,374361530.71159095,8767.79240724799,61.17724344370178,67.24141959388123,TIME_EXIT,True,False,71658.93650730218,80426.72891455017
LEVERUSDT,TAKER,5.0,2025-09-03 06:53:00,2025-09-03 07:54:00,0.000207584,0.00023919904319999997,16085.345782910035,80426.72891455017,387441849.6346066,-12335.542038007376,-76.68807499999994,86.55122432139316,STOP_LOSS,False,False,80426.72891455017,68091.1868765428
BNTUSDT,TAKER,5.0,2026-04-19 23:15:00,2026-04-20 23:16:00,0.3066854,0.31653180000000003,13618.23737530856,68091.1868765428,222022.916241017,-2255.3106925733377,-16.560958884902956,69.18425009778056,FINAL_BAR,False,False,68091.1868765428,65835.87618396945
INJUSDT,TAKER,5.0,2026-05-13 15:19:00,2026-05-14 15:20:00,5.51395,5.1134507385,13167.17523679389,65835.87618396945,11939.875440286807,4718.466375701004,35.83506933602499,63.44492053585101,TIME_EXIT,True,False,65835.87618396945,70554.34255967045
MRVLUSDT,TAKER,5.0,2026-06-03 09:24:00,2026-06-03 22:00:00,326.11645999999996,294.31013026979997,14110.86851193409,70554.34255967045,216.3470760098109,6814.092696390888,48.289676079314006,67.1137393418041,TIME_EXIT,True,False,70554.34255967045,77368.43525606133
AVGOUSDT,TAKER,5.0,2026-06-04 13:48:00,2026-06-05 13:49:00,405.55726,401.98236,15473.687051212268,77368.43525606133,190.77068243350232,604.9586704317736,3.909596131998668,77.02744219974556,FINAL_BAR,False,False,77368.43525606133,77973.39392649311
SPCXUSDT,TAKER,5.0,2026-06-16 05:51:00,2026-06-17 05:52:00,207.85346,204.73866,15594.678785298624,77973.39392649313,375.13637697680434,1091.0856304743618,6.996525196164652,77.38915653298946,FINAL_BAR,False,False,77973.39392649311,79064.47955696748
KORUUSDT,TAKER,5.0,2026-06-23 06:06:00,2026-06-23 14:20:00,819.47776,792.3776304767999,15812.895911393496,79064.47955696748,96.48154399817693,2536.905190561423,16.04326750000001,77.75714838749302,BREAK_EVEN,True,False,79064.47955696748,81601.3847475289
