symbol,entry_time,exit_time,entry_price,exit_price,units,leverage,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,funding_cost_usdt,borrow_cost_usdt,net_pnl_usdt,gross_ret_pct,exit_reason,bars_held
ETHUSDT,2026-01-02 20:00:00,2026-01-03 04:00:00,3125.191815,3123.99722,45.85425315007651,1.0,-54.7772615418127,114.7344568675397,114.59884749281223,71.660109737865,0.0,0.0,-284.11056590216464,-0.03822469373771656,SIGNAL_EXIT,2
SOLUSDT,2026-01-03 04:00:00,2026-01-03 04:00:00,132.89641500000002,129.74601076609875,1076.1723959980984,1.0,-3390.3780727600833,114.50716841481798,111.70326022187805,209.75825029144067,0.0,0.0,-3616.588501396779,-2.3705712707910664,STOP_LOSS,1
ETHUSDT,2026-01-03 12:00:00,2026-01-03 16:00:00,3100.04925,3099.7693400000003,44.968884968363646,1.0,-12.58724059148321,111.61389761370056,111.5145367031364,69.73145116503737,0.0,0.0,-235.71567490832018,-0.009029211390746299,SIGNAL_EXIT,1
SOLUSDT,2026-01-03 16:00:00,2026-01-04 08:00:00,131.54574,133.7331,1057.9607596349654,1.0,2314.141047195151,111.42532507377393,113.18749765147103,70.77757481958336,0.0,0.0,2089.528224469906,1.6628132541578406,SIGNAL_EXIT,4
BTCUSDT,2026-01-04 08:00:00,2026-01-04 12:00:00,91577.76599999999,91254.359995,1.5424932687158366,1.0,-498.8515857747533,113.09694765334987,112.60738882660738,70.4148254293267,0.0,0.0,-724.5559222547105,-0.35314904384103735,SIGNAL_EXIT,1
SOLUSDT,2026-01-04 12:00:00,2026-01-04 20:00:00,134.45719499999998,133.48322500000003,1045.195917864545,1.0,-1017.9894681224803,112.51730291554611,111.6128974987157,69.7929574153825,0.0,0.0,-1242.119668536742,-0.7243717972845943,SIGNAL_EXIT,2
BNBUSDT,2026-01-04 20:00:00,2026-01-05 00:00:00,892.9662599999999,894.982285,155.9890800003073,1.0,314.4778850076393,111.52360718071674,111.68597060297829,69.83865095232242,0.0,0.0,91.26830722394429,0.2257672087185161,SIGNAL_EXIT,1
BTCUSDT,2026-01-05 00:00:00,2026-01-06 12:00:00,91575.50487,93793.07000500002,1.5220683834521278,1.0,3375.2857802292674,111.59662182649589,114.20757315321812,71.4154409412156,0.0,0.0,3149.4815852495535,2.421570198436856,SIGNAL_EXIT,9
SOLUSDT,2026-01-06 12:00:00,2026-01-06 20:00:00,139.56975,137.46123500000002,1021.2180122216648,1.0,-2153.253497039546,114.11620709469551,112.30231133138813,70.22405661040733,0.0,0.0,-2379.6720154656296,-1.5107249242762009,SIGNAL_EXIT,2
ETHUSDT,2026-01-06 20:00:00,2026-01-07 08:00:00,3225.1817849999998,3253.682345,43.45596116016185,1.0,1238.51922840288,112.21246948232302,113.11351488945948,70.73131246213354,0.0,0.0,1013.1932440310974,0.88368848331445,SIGNAL_EXIT,3
BNBUSDT,2026-01-07 08:00:00,2026-01-07 12:00:00,919.2694049999999,899.3323085710714,153.56298850483043,1.0,-3061.6001097352428,113.02302407754789,110.48332557049764,207.46743659958202,0.0,0.0,-3285.106459383288,-2.1687979955047565,STOP_LOSS,2
BNBUSDT,2026-01-07 16:00:00,2026-01-07 20:00:00,899.88972,896.6714400000001,153.22241785209138,1.0,-493.11264292501886,110.39493891004125,109.9121328445732,68.7294477517233,0.0,0.0,-713.4197146796333,-0.35763048832249533,SIGNAL_EXIT,1
SOLUSDT,2026-01-07 20:00:00,2026-01-08 12:00:00,135.82788,134.73260000000002,1009.8841984409506,1.0,-1106.1059648683781,109.82420313829755,108.8514590038922,68.06619497491212,0.0,0.0,-1324.7816270105677,-0.8063734779634152,SIGNAL_EXIT,4
SOLUSDT,2026-01-08 16:00:00,2026-01-09 20:00:00,136.478205,135.73210000000003,995.3729089419417,1.0,-742.6527042260991,108.76437783668908,108.08324417103883,67.58582051713825,0.0,0.0,-959.500326233827,-0.546684358868855,SIGNAL_EXIT,7
SOLUSDT,2026-01-10 00:00:00,2026-01-10 04:00:00,136.02798,136.081925,991.6193359046558,1.0,53.49290507537547,107.99677757570201,107.95317447770175,67.50448629170273,0.0,0.0,-162.4570469780283,0.03965728227383719,SIGNAL_EXIT,1
BNBUSDT,2026-01-10 04:00:00,2026-01-11 16:00:00,907.7636549999999,908.18568,148.41489562689242,1.0,62.63479632696743,107.8668119381196,107.83062632563066,67.42785538120067,0.0,0.0,-153.06264193678282,0.04649062535998864,SIGNAL_EXIT,9
SOLUSDT,2026-01-11 16:00:00,2026-01-13 20:00:00,138.50922,144.16788000000003,971.5794220694345,1.0,5497.837612487451,107.74436182457018,112.05643642510049,70.07030791963204,0.0,0.0,5278.036814237781,4.0854031233444426,SIGNAL_EXIT,13
BNBUSDT,2026-01-13 20:00:00,2026-01-14 00:00:00,941.97075,943.258135,148.46163992212558,1.0,191.12728831115837,111.96679127596042,112.0301196735886,70.05385172185079,0.0,0.0,-32.86962263839065,0.13666931802288826,SIGNAL_EXIT,1
BTCUSDT,2026-01-14 00:00:00,2026-01-14 04:00:00,95461.696995,95673.129505,1.4646050026122763,1.0,309.6651118608683,111.94049557784973,112.09867527087616,70.09672040450103,0.0,0.0,85.62594101214242,0.22148413097147535,SIGNAL_EXIT,1
ETHUSDT,2026-01-14 04:00:00,2026-01-14 12:00:00,3353.61597,3284.57689,41.715938160025416,1.0,-2880.029991905048,112.00899633065944,109.61536514007089,68.54387515011848,0.0,0.0,-3101.6543533757786,-2.0586459695324035,SIGNAL_EXIT,2
