trade_id,symbol,direction,market_type,pullback_mode,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,low_distance_to_u,high_distance_to_l,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
2,BNBUSDT,LONG,spot,BREAKOUT_ONLY,2024-01-03 05:15:00+00:00,313.4546,313.0753,0.9959,2024-01-03 05:30:00+00:00,316.3,2024-01-03 05:30:00+00:00,316.3,0.0,0.0,2024-01-03 05:45:00+00:00,316.4581,13.959058,4417.46,312.8761,318.6715,1,2024-01-03 06:45:00+00:00,318.1935,TRAILING_STOP,4,24.22,3.534,3.5533,8.8713,17.14,0.343
1,ETHUSDT,LONG,spot,BREAKOUT_ONLY,2024-01-03 04:45:00+00:00,2368.0212,2366.0207,5.549,2024-01-03 05:00:00+00:00,2373.73,2024-01-03 05:00:00+00:00,2373.73,0.0,0.0,2024-01-03 05:15:00+00:00,2374.9269,4.168549,9900.0,2364.9109,2364.9109,0,2024-01-03 07:45:00+00:00,2361.3635,STOP_LOSS,10,-56.54,7.92,7.8748,19.7152,-72.33,-1.732
3,BNBUSDT,LONG,spot,BREAKOUT_ONLY,2024-01-03 15:45:00+00:00,316.0381,314.7506,4.7681,2024-01-03 16:00:00+00:00,319.6,2024-01-03 16:00:00+00:00,319.6,0.0,0.0,2024-01-03 16:15:00+00:00,319.6597,8.481249,2711.11,313.7969,313.7969,0,2024-01-03 18:30:00+00:00,313.3262,STOP_LOSS,9,-53.72,2.1689,2.1259,5.3417,-58.01,-1.167
4,BNBUSDT,LONG,spot,BREAKOUT_ONLY,2024-01-03 20:45:00+00:00,316.0413,315.5493,2.4008,2024-01-03 21:15:00+00:00,317.5,2024-01-03 21:15:00+00:00,317.5,0.0,0.0,2024-01-03 21:30:00+00:00,317.7588,18.379411,5840.22,315.0692,315.0692,0,2024-01-03 22:45:00+00:00,314.5966,STOP_LOSS,5,-58.12,4.6722,4.6257,11.5933,-67.42,-1.364
5,BNBUSDT,LONG,spot,BREAKOUT_ONLY,2024-01-04 04:00:00+00:00,315.6755,315.5292,1.8361,2024-01-04 04:15:00+00:00,319.2,2024-01-04 04:15:00+00:00,319.2,0.0,0.0,2024-01-04 04:30:00+00:00,319.3596,11.69624,3735.31,315.1619,320.3845,1,2024-01-04 10:15:00+00:00,319.9039,TRAILING_STOP,23,6.37,2.9882,2.9933,7.4802,0.38,0.008
6,BNBUSDT,LONG,spot,BREAKOUT_ONLY,2024-01-04 13:30:00+00:00,318.386,317.6247,1.8524,2024-01-04 14:30:00+00:00,320.1,2024-01-04 14:30:00+00:00,320.1,0.0,0.0,2024-01-04 14:45:00+00:00,320.16,16.896851,5409.7,317.2542,317.2542,0,2024-01-04 22:45:00+00:00,321.5392,TIME_EXIT_8H,32,23.3,4.3278,4.3464,5.4213,14.63,0.298
7,BTCUSDT,LONG,spot,BREAKOUT_ONLY,2024-01-05 07:15:00+00:00,43762.0353,43708.0519,168.7146,2024-01-05 08:00:00+00:00,43872.13,2024-01-05 08:00:00+00:00,43872.13,0.0,0.0,2024-01-05 08:15:00+00:00,43894.0761,0.221808,9736.04,43674.309,43976.2742,1,2024-01-05 09:15:00+00:00,43910.3098,TRAILING_STOP,4,3.6,7.7888,7.7917,19.4775,-11.98,-0.246
8,BTCUSDT,LONG,spot,BREAKOUT_ONLY,2024-01-05 08:45:00+00:00,43780.1613,43723.6075,137.4787,2024-01-05 09:00:00+00:00,44049.71,2024-01-05 09:00:00+00:00,44049.71,0.0,0.0,2024-01-05 09:15:00+00:00,44071.7349,0.130748,5762.3,43696.1118,43696.1118,0,2024-01-05 10:45:00+00:00,43630.5676,STOP_LOSS,6,-57.68,4.6098,4.5637,11.4381,-66.86,-1.361
9,BTCUSDT,LONG,spot,BREAKOUT_ONLY,2024-01-05 11:30:00+00:00,43850.9245,43761.5785,203.8633,2024-01-05 13:00:00+00:00,44001.07,2024-01-05 13:00:00+00:00,44001.07,0.0,0.0,2024-01-05 13:15:00+00:00,44023.0805,0.161369,7103.96,43720.8058,43720.8058,0,2024-01-05 14:15:00+00:00,43655.2246,STOP_LOSS,4,-59.36,5.6832,5.6357,14.1189,-70.68,-1.449
11,ETHUSDT,LONG,spot,BREAKOUT_ONLY,2024-01-05 23:30:00+00:00,2246.868,2242.8084,10.4362,2024-01-05 23:45:00+00:00,2268.78,2024-01-05 23:45:00+00:00,2268.78,0.0,0.0,2024-01-06 00:00:00+00:00,2269.9144,1.661504,3771.47,2240.7212,2240.7212,0,2024-01-06 05:15:00+00:00,2237.3601,STOP_LOSS,21,-54.09,3.0172,2.9739,7.4618,-60.08,-1.239
