trade_id,symbol,direction,market_type,pullback_mode,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,low_distance_to_u,high_distance_to_l,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
1,BTCUSDT,LONG,spot,STRICT_SUPPORT,2024-01-05 12:15:00+00:00,43843.7306,43764.9207,220.3698,2024-01-05 12:15:00+00:00,43926.04,2024-01-05 12:30:00+00:00,43914.0,12.399423,0.0,2024-01-05 12:45:00+00:00,43935.947,0.225328,9900.0,43720.8467,43720.8467,0,2024-01-05 14:15:00+00:00,43655.2655,STOP_LOSS,6,-63.25,7.92,7.8694,19.7051,-79.03,-1.631
2,BTCUSDT,LONG,spot,STRICT_SUPPORT,2024-01-05 21:00:00+00:00,43703.0805,43662.9625,239.3107,2024-01-05 21:00:00+00:00,43754.68,2024-01-05 21:15:00+00:00,43788.77,12.529544,0.0,2024-01-05 21:30:00+00:00,43810.6644,0.224186,9821.76,43615.1004,43615.1004,0,2024-01-05 23:00:00+00:00,44179.6915,FIXED_2R,6,82.73,7.8574,7.9236,9.8631,66.95,1.527
3,ETHUSDT,LONG,spot,STRICT_SUPPORT,2024-01-07 06:45:00+00:00,2245.7876,2243.5601,4.4797,2024-01-07 06:45:00+00:00,2249.59,2024-01-07 07:30:00+00:00,2249.09,0.272437,0.0,2024-01-07 07:45:00+00:00,2250.2245,4.394244,9888.04,2242.6641,2242.6641,0,2024-01-07 08:30:00+00:00,2239.3001,STOP_LOSS,3,-48.0,7.9104,7.872,19.7041,-63.79,-1.92
4,ETHUSDT,LONG,spot,STRICT_SUPPORT,2024-01-07 13:45:00+00:00,2242.933,2242.6763,6.02,2024-01-07 13:45:00+00:00,2252.09,2024-01-07 14:30:00+00:00,2248.38,0.527043,0.0,2024-01-07 14:45:00+00:00,2249.5042,4.367579,9824.89,2241.4723,2241.4723,0,2024-01-07 15:15:00+00:00,2238.1101,STOP_LOSS,2,-49.76,7.8599,7.8201,19.5751,-65.44,-1.866
5,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-01-10 02:00:00+00:00,99.2614,98.8987,1.2611,2024-01-10 02:00:00+00:00,99.61,2024-01-10 02:15:00+00:00,99.45,0.118606,0.0,2024-01-10 02:30:00+00:00,99.4897,58.456952,5815.87,98.6465,98.6465,0,2024-01-10 02:45:00+00:00,98.4221,STOP_LOSS,1,-62.41,4.6527,4.6028,11.5381,-71.66,-1.454
6,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-01-10 03:00:00+00:00,99.2461,98.9875,1.0804,2024-01-10 03:00:00+00:00,99.7,2024-01-10 03:15:00+00:00,99.53,0.103868,0.0,2024-01-10 03:30:00+00:00,99.5698,61.297607,6103.39,98.7714,98.7714,0,2024-01-10 04:30:00+00:00,98.6233,STOP_LOSS,4,-58.02,4.8827,4.8363,12.1198,-67.74,-1.384
7,BTCUSDT,LONG,spot,STRICT_SUPPORT,2024-01-11 09:00:00+00:00,46200.6908,46131.743,159.0015,2024-01-11 09:00:00+00:00,46276.35,2024-01-11 09:45:00+00:00,46220.12,11.249151,0.0,2024-01-11 10:00:00+00:00,46243.2301,0.208076,9622.09,46099.9427,46099.9427,0,2024-01-11 10:15:00+00:00,46506.5398,FIXED_2R,1,54.79,7.6977,7.7415,9.6495,39.35,1.32
8,BTCUSDT,LONG,spot,STRICT_SUPPORT,2024-01-11 19:45:00+00:00,46664.3064,46526.4988,306.2564,2024-01-11 19:45:00+00:00,46692.3,2024-01-11 20:00:00+00:00,46953.32,27.983558,0.0,2024-01-11 20:15:00+00:00,46976.7867,0.095385,4480.88,46465.2475,46465.2475,0,2024-01-11 20:30:00+00:00,46395.5497,STOP_LOSS,1,-55.44,3.5847,3.5404,8.8786,-62.57,-1.282
9,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-01-12 01:45:00+00:00,308.3928,307.6526,1.6966,2024-01-12 01:45:00+00:00,308.4,2024-01-12 02:00:00+00:00,309.5,0.007191,0.0,2024-01-12 02:15:00+00:00,309.7548,19.856891,6150.77,307.3133,307.3133,0,2024-01-12 07:45:00+00:00,306.8523,STOP_LOSS,22,-57.63,4.9206,4.8745,12.2151,-67.43,-1.391
11,ETHUSDT,LONG,spot,STRICT_SUPPORT,2024-01-16 08:45:00+00:00,2530.4663,2526.4373,8.7213,2024-01-16 08:45:00+00:00,2544.02,2024-01-16 10:15:00+00:00,2531.65,0.463678,0.0,2024-01-16 10:30:00+00:00,2532.9258,3.76207,9529.04,2524.693,2524.693,0,2024-01-16 11:30:00+00:00,2520.906,STOP_LOSS,4,-45.22,7.6232,7.5871,18.9903,-60.43,-1.951
