trade_id,symbol,direction,market_type,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
1,BTCUSDT,LONG,spot,2024-01-03 03:45:00+00:00,45182.2838,45188.15,109.8941,2024-01-03 03:45:00+00:00,45262.69,2024-01-03 03:45:00+00:00,45262.69,2024-01-03 04:00:00+00:00,45285.3313,0.218614,9900.0,45166.1712,45166.1712,0,2024-01-03 04:30:00+00:00,45098.4219,STOP_LOSS,2,-40.86,7.92,7.8873,19.7387,-56.67,-2.175
2,BTCUSDT,LONG,spot,2024-01-03 05:00:00+00:00,45189.3724,45118.91,97.6922,2024-01-03 05:00:00+00:00,45229.99,2024-01-03 05:00:00+00:00,45229.99,2024-01-03 05:15:00+00:00,45252.615,0.217532,9843.9,45099.3716,45099.3716,0,2024-01-03 07:45:00+00:00,45031.7225,STOP_LOSS,10,-48.05,7.8751,7.8367,19.6157,-63.76,-1.913
3,ETHUSDT,LONG,spot,2024-01-03 05:00:00+00:00,2368.4427,2367.99,5.5758,2024-01-03 05:00:00+00:00,2373.73,2024-01-03 05:00:00+00:00,2373.73,2024-01-03 05:15:00+00:00,2374.9269,4.141644,9836.1,2366.8748,2366.8748,0,2024-01-03 07:45:00+00:00,2363.3245,STOP_LOSS,10,-48.05,7.8689,7.8304,19.6001,-63.75,-1.912
4,BNBUSDT,LONG,spot,2024-01-03 08:00:00+00:00,316.7365,316.7,1.8429,2024-01-03 08:00:00+00:00,317.9,2024-01-03 08:00:00+00:00,317.9,2024-01-03 08:15:00+00:00,318.0589,28.409839,9036.0,316.3314,326.9662,2,2024-01-03 10:00:00+00:00,326.4757,TRAILING_STOP,7,239.12,7.2288,7.4201,18.4307,224.47,4.574
5,BTCUSDT,LONG,spot,2024-01-03 08:45:00+00:00,45186.3317,45041.73,127.8893,2024-01-03 08:45:00+00:00,45200.0,2024-01-03 08:45:00+00:00,45200.0,2024-01-03 09:00:00+00:00,45222.6,0.214727,9710.5,45016.1521,45238.1895,3,2024-01-03 10:15:00+00:00,45170.3323,TRAILING_STOP,5,-11.22,7.7684,7.7594,19.4042,-26.75,-0.603
6,BNBUSDT,LONG,spot,2024-01-03 09:45:00+00:00,320.0223,329.7,3.7513,2024-01-03 09:45:00+00:00,330.2,2024-01-03 09:45:00+00:00,330.2,2024-01-03 10:00:00+00:00,330.3651,30.064295,9932.19,328.9497,328.9497,0,2024-01-03 10:30:00+00:00,328.4563,STOP_LOSS,2,-57.39,7.9458,7.8998,19.7783,-73.23,-1.721
7,BNBUSDT,LONG,spot,2024-01-03 15:45:00+00:00,314.7506,314.2,4.7681,2024-01-03 15:45:00+00:00,316.9,2024-01-03 15:45:00+00:00,316.9,2024-01-03 16:00:00+00:00,317.0584,13.037905,4133.78,313.2464,315.2765,5,2024-01-03 18:30:00+00:00,314.8036,TRAILING_STOP,10,-29.4,3.307,3.2835,8.2235,-35.99,-0.724
8,BNBUSDT,LONG,spot,2024-01-03 20:45:00+00:00,315.5493,315.5,2.4008,2024-01-03 20:45:00+00:00,316.8,2024-01-03 20:45:00+00:00,316.8,2024-01-03 21:00:00+00:00,316.9584,25.545604,8096.89,315.0198,315.0198,0,2024-01-03 22:45:00+00:00,314.5473,STOP_LOSS,7,-61.59,6.4775,6.4282,16.1014,-74.5,-1.504
9,BNBUSDT,LONG,spot,2024-01-03 22:45:00+00:00,316.2801,314.9,1.7773,2024-01-03 22:45:00+00:00,316.6,2024-01-03 22:45:00+00:00,316.6,2024-01-03 23:00:00+00:00,316.7583,22.201674,7032.56,314.5445,314.5445,0,2024-01-03 23:15:00+00:00,313.7287,STOP_LOSS,1,-67.26,5.6261,5.5722,13.9642,-78.46,-1.596
10,BNBUSDT,LONG,spot,2024-01-04 00:00:00+00:00,316.0111,314.7,1.9741,2024-01-04 00:00:00+00:00,316.8,2024-01-04 00:00:00+00:00,316.8,2024-01-04 00:15:00+00:00,316.9584,18.376464,5824.57,314.3052,314.3052,0,2024-01-04 00:30:00+00:00,313.8337,STOP_LOSS,1,-57.42,4.6597,4.6137,11.563,-66.69,-1.368
11,BNBUSDT,LONG,spot,2024-01-04 08:00:00+00:00,319.2615,318.5,1.7814,2024-01-04 08:00:00+00:00,320.0,2024-01-04 08:00:00+00:00,320.0,2024-01-04 08:15:00+00:00,320.26,22.880799,7327.81,318.1437,320.3845,1,2024-01-04 10:15:00+00:00,319.9039,TRAILING_STOP,8,-8.15,5.8622,5.8557,14.6434,-19.87,-0.41
12,BNBUSDT,LONG,spot,2024-01-04 14:00:00+00:00,318.4198,317.6,1.8127,2024-01-04 14:00:00+00:00,319.0,2024-01-04 14:00:00+00:00,319.0,2024-01-04 14:15:00+00:00,319.1595,25.141993,8024.31,317.2375,318.241,3,2024-01-04 16:00:00+00:00,317.7637,TRAILING_STOP,7,-35.09,6.4194,6.3914,15.996,-47.9,-0.991
13,BNBUSDT,LONG,spot,2024-01-04 15:45:00+00:00,319.3209,318.8,1.7335,2024-01-04 15:45:00+00:00,319.7,2024-01-04 15:45:00+00:00,319.7,2024-01-04 16:00:00+00:00,319.8598,29.76529,9520.72,318.4533,318.4533,0,2024-01-04 16:15:00+00:00,317.7227,STOP_LOSS,1,-63.61,7.6166,7.5657,18.946,-78.8,-1.882
14,BNBUSDT,LONG,spot,2024-01-04 17:00:00+00:00,319.0893,318.2,1.6866,2024-01-04 17:00:00+00:00,319.5,2024-01-04 17:00:00+00:00,319.5,2024-01-04 17:15:00+00:00,319.6597,26.537883,8483.09,317.8627,317.8627,0,2024-01-04 17:30:00+00:00,317.3859,STOP_LOSS,1,-60.34,6.7865,6.7382,16.8757,-73.87,-1.549
15,BNBUSDT,LONG,spot,2024-01-04 18:00:00+00:00,318.876,318.2,1.4492,2024-01-04 18:00:00+00:00,318.9,2024-01-04 18:00:00+00:00,318.9,2024-01-04 18:15:00+00:00,319.0594,29.366265,9369.58,317.9102,318.8401,2,2024-01-04 19:30:00+00:00,318.3618,TRAILING_STOP,5,-20.49,7.4957,7.4793,18.7084,-35.46,-1.051
16,BTCUSDT,LONG,spot,2024-01-04 20:00:00+00:00,43954.2795,43890.9,210.8472,2024-01-04 20:00:00+00:00,43984.99,2024-01-04 20:00:00+00:00,43984.99,2024-01-04 20:15:00+00:00,44006.9925,0.212114,9334.48,43848.7306,44176.7266,1,2024-01-04 20:45:00+00:00,44110.4616,TRAILING_STOP,2,21.95,7.4676,7.4851,18.7019,6.99,0.208
17,BNBUSDT,LONG,spot,2024-01-04 20:15:00+00:00,319.1215,318.4,1.2563,2024-01-04 20:15:00+00:00,319.6,2024-01-04 20:15:00+00:00,319.6,2024-01-04 20:30:00+00:00,319.7598,29.169035,9327.08,318.1487,320.0551,5,2024-01-04 22:45:00+00:00,319.575,TRAILING_STOP,9,-5.39,7.4617,7.4574,18.6461,-20.31,-0.432
18,BTCUSDT,LONG,spot,2024-01-04 20:30:00+00:00,44000.0229,44065.43,256.6367,2024-01-04 20:30:00+00:00,44328.9,2024-01-04 20:30:00+00:00,44328.9,2024-01-04 20:45:00+00:00,44351.0644,0.140179,6217.07,44014.1027,44234.1756,2,2024-01-04 22:45:00+00:00,44167.8243,TRAILING_STOP,8,-25.69,4.9737,4.9531,12.3956,-35.61,-0.754
19,BTCUSDT,LONG,spot,2024-01-04 23:00:00+00:00,44227.3194,44187.76,235.3748,2024-01-04 23:00:00+00:00,44231.1,2024-01-04 23:00:00+00:00,44231.1,2024-01-04 23:15:00+00:00,44253.2055,0.209839,9286.04,44140.685,44140.685,0,2024-01-04 23:30:00+00:00,44074.474,STOP_LOSS,1,-37.5,7.4288,7.3988,18.5158,-52.33,-2.216
21,BTCUSDT,LONG,spot,2024-01-04 23:15:00+00:00,44235.4795,44222.86,221.3622,2024-01-04 23:15:00+00:00,44313.0,2024-01-04 23:15:00+00:00,44313.0,2024-01-04 23:30:00+00:00,44335.1665,0.208117,9226.88,44178.5876,44178.5876,0,2024-01-04 23:45:00+00:00,44088.9772,STOP_LOSS,1,-51.24,7.3815,7.3405,18.3769,-65.96,-2.024
22,BTCUSDT,LONG,spot,2024-01-05 00:15:00+00:00,44218.2681,44133.03,183.1202,2024-01-05 00:15:00+00:00,44219.02,2024-01-05 00:15:00+00:00,44219.02,2024-01-05 00:30:00+00:00,44241.1195,0.207083,9161.58,44096.406,44096.406,0,2024-01-05 00:45:00+00:00,44030.2613,STOP_LOSS,1,-43.67,7.3293,7.2943,18.2577,-58.29,-1.945
20,BNBUSDT,LONG,spot,2024-01-04 23:00:00+00:00,320.4951,320.8,1.302,2024-01-04 23:00:00+00:00,320.9,2024-01-04 23:00:00+00:00,320.9,2024-01-04 23:15:00+00:00,320.9604,28.909126,9278.68,320.5396,324.2173,5,2024-01-05 01:15:00+00:00,323.731,TRAILING_STOP,8,80.1,7.4229,7.487,18.6775,65.19,5.359
23,BTCUSDT,LONG,spot,2024-01-05 00:45:00+00:00,44207.2178,44058.14,192.6943,2024-01-05 00:45:00+00:00,44211.1,2024-01-05 00:45:00+00:00,44211.1,2024-01-05 01:00:00+00:00,44233.2055,0.205815,9103.88,44019.6011,44019.6011,0,2024-01-05 01:15:00+00:00,43953.5717,STOP_LOSS,1,-57.55,7.2831,7.2371,18.1214,-72.07,-1.639
