total_trades,win_rate_pct,avg_net_r,median_net_r,profit_factor,total_net_return_pct,max_drawdown_pct,daily_sharpe,avg_hours_held,total_fees_usdt,total_slippage_usdt,final_equity,experiment_name,pullback_mode,interval,ma_type,direction,market_type
290,23.1,-0.744,-1.365,0.32,-57.77,57.8,-3.85,2.01,2716.54,3380.07,4222.76,v1_strict_support_15m_ema_long,STRICT_SUPPORT,15m,EMA,LONG,spot
308,21.75,-0.754,-1.385,0.38,-57.24,57.24,-3.56,1.82,2947.8,3667.36,4276.11,v1_intraband_penetration_15m_ema_long,INTRABAND_PENETRATION,15m,EMA,LONG,spot
467,22.06,-0.767,-1.4,0.36,-73.37,73.51,-4.43,1.89,3652.91,4538.94,2663.16,v1_loose_reclaim_15m_ema_long,LOOSE_PENETRATION_RECLAIM,15m,EMA,LONG,spot
69,21.74,-0.818,-1.351,0.3,-19.79,20.46,-2.17,2.36,831.56,1028.13,8020.78,v2_strict_15m_sma_long,STRICT_SUPPORT,15m,SMA,LONG,spot
322,22.67,-0.697,-1.256,0.32,-67.18,67.28,-4.32,1.9,2223.69,3549.64,3282.23,v1_strict_15m_ema_short_perps,STRICT_SUPPORT,15m,EMA,SHORT,futures
457,18.38,-0.966,-1.554,0.26,-77.8,77.8,-5.82,2.42,3579.85,4472.71,2220.36,v3_strict_5m_ema_long,STRICT_SUPPORT,5m,EMA,LONG,spot
140,23.57,-0.739,-1.426,0.38,-30.08,32.32,-2.5,2.32,1782.76,2227.83,6992.14,v4_strict_5m_sma_long,STRICT_SUPPORT,5m,SMA,LONG,spot
643,21.77,-0.778,-1.46,0.34,-91.25,91.09,-6.0,1.88,3683.84,5896.33,874.59,v3_strict_5m_ema_short_perps,STRICT_SUPPORT,5m,EMA,SHORT,futures
8488,20.16,-0.754,-1.252,0.35,-100.0,100.0,-15.51,1.92,4083.47,5054.05,0.0,ablation_simple_trend_no_congestion,STRICT_SUPPORT,15m,EMA,LONG,spot
1877,29.94,-0.535,-1.119,0.43,-98.55,98.57,-6.81,3.18,4896.22,5890.84,144.7,ablation_breakout_only_no_pullback,STRICT_SUPPORT,15m,EMA,LONG,spot
289,34.95,-0.628,-1.494,0.48,-50.05,50.08,-3.48,2.0,3062.02,3125.05,4995.49,ablation_fixed_2r_exit,STRICT_SUPPORT,15m,EMA,LONG,spot
145,20.69,-1.05,-1.54,0.16,-53.53,53.53,-4.41,2.47,2345.58,2910.88,4647.1,stress_cost_2x_friction,STRICT_SUPPORT,15m,EMA,LONG,spot
32,12.5,-1.194,-1.788,0.11,-17.49,17.49,-2.39,3.08,739.6,899.67,8251.07,stress_cost_4x_friction,STRICT_SUPPORT,15m,EMA,LONG,spot
