trade_id,symbol,direction,market_type,pullback_mode,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,low_distance_to_u,high_distance_to_l,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
1,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-01-10 02:00:00+00:00,99.2614,98.8987,1.2611,2024-01-10 02:00:00+00:00,99.61,2024-01-10 02:15:00+00:00,99.45,0.118606,0.0,2024-01-10 02:30:00+00:00,99.6389,50.382757,5020.08,98.6465,98.6465,0,2024-01-10 02:45:00+00:00,97.9786,STOP_LOSS,1,-83.65,16.0643,15.7966,39.6587,-115.51,-2.31
2,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-01-10 03:00:00+00:00,99.2461,98.9875,1.0804,2024-01-10 03:00:00+00:00,99.7,2024-01-10 03:15:00+00:00,99.53,0.103868,0.0,2024-01-10 03:30:00+00:00,99.719,52.155388,5200.89,98.7714,98.7714,0,2024-01-10 04:30:00+00:00,98.1788,STOP_LOSS,4,-80.33,16.6428,16.3858,41.1251,-113.36,-2.294
3,BTCUSDT,LONG,spot,STRICT_SUPPORT,2024-01-11 19:45:00+00:00,46664.3064,46526.4988,306.2564,2024-01-11 19:45:00+00:00,46692.3,2024-01-11 20:00:00+00:00,46953.32,27.983558,0.0,2024-01-11 20:15:00+00:00,47047.2166,0.083949,3949.56,46465.2475,46465.2475,0,2024-01-11 20:30:00+00:00,46186.456,STOP_LOSS,1,-72.26,12.6386,12.4074,31.1629,-97.31,-1.992
4,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-01-16 03:30:00+00:00,95.4017,95.2355,0.5312,2024-01-16 03:30:00+00:00,95.93,2024-01-16 03:45:00+00:00,96.19,0.038279,0.0,2024-01-16 04:00:00+00:00,96.3824,38.598922,3720.26,95.1293,97.0286,1,2024-01-16 08:00:00+00:00,96.4465,TRAILING_STOP,16,2.47,11.9048,11.9127,29.7769,-21.34,-0.441
5,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-03-17 08:30:00+00:00,185.1206,184.2394,3.2248,2024-03-17 08:30:00+00:00,186.6,2024-03-17 08:45:00+00:00,186.69,0.319392,0.0,2024-03-17 09:00:00+00:00,187.0634,13.912704,2602.56,183.5944,189.8948,8,2024-03-17 12:30:00+00:00,188.7554,TRAILING_STOP,14,23.54,8.3282,8.4035,20.9617,6.81,0.141
6,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-03-23 12:30:00+00:00,554.7048,553.7434,2.8365,2024-03-23 12:30:00+00:00,554.9,2024-03-23 12:45:00+00:00,558.0,0.095208,0.0,2024-03-23 13:00:00+00:00,559.116,8.130796,4546.06,553.1761,561.1171,2,2024-03-23 15:15:00+00:00,557.7504,TRAILING_STOP,9,-11.1,14.5474,14.5119,36.3018,-40.16,-0.832
7,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-04-19 04:00:00+00:00,136.9994,136.0331,2.4042,2024-04-19 04:00:00+00:00,137.84,2024-04-19 05:30:00+00:00,138.49,0.000642,0.0,2024-04-19 05:45:00+00:00,138.757,15.008032,2082.47,135.5523,142.7319,7,2024-04-19 08:30:00+00:00,141.8755,TRAILING_STOP,11,46.8,6.6639,6.8137,16.9406,33.33,0.693
8,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-04-20 05:00:00+00:00,143.0871,142.5054,1.2378,2024-04-20 05:00:00+00:00,144.04,2024-04-20 05:15:00+00:00,144.19,0.112904,0.0,2024-04-20 05:30:00+00:00,144.4784,21.734426,3140.15,142.2578,142.2578,0,2024-04-20 08:00:00+00:00,141.4043,STOP_LOSS,10,-66.81,10.0485,9.8347,24.7204,-86.7,-1.796
9,ETHUSDT,LONG,spot,STRICT_SUPPORT,2024-05-23 22:00:00+00:00,3794.4109,3787.6692,69.5737,2024-05-23 22:00:00+00:00,3822.19,2024-05-23 22:15:00+00:00,3806.6,1.569075,0.0,2024-05-23 22:30:00+00:00,3814.2132,1.182163,4509.02,3773.7545,3773.7545,0,2024-05-23 23:00:00+00:00,3751.112,STOP_LOSS,2,-74.6,14.4289,14.1902,35.6246,-103.21,-2.158
10,ETHUSDT,LONG,spot,STRICT_SUPPORT,2024-07-08 19:30:00+00:00,2989.9233,2984.3342,20.0069,2024-07-08 19:30:00+00:00,2995.46,2024-07-08 19:45:00+00:00,3004.59,0.726741,0.0,2024-07-08 20:00:00+00:00,3010.6092,1.562691,4704.65,2980.3328,3017.4137,6,2024-07-08 23:45:00+00:00,2999.3092,TRAILING_STOP,15,-17.66,15.0549,14.9984,37.5313,-47.71,-1.008
11,BTCUSDT,LONG,spot,STRICT_SUPPORT,2024-07-27 21:00:00+00:00,68335.2333,68109.5027,770.9096,2024-07-27 21:00:00+00:00,68520.01,2024-07-27 21:15:00+00:00,68900.0,1.726669,0.0,2024-07-27 21:30:00+00:00,69037.8,0.043487,3002.27,67955.3208,67955.3208,0,2024-07-27 23:45:00+00:00,67547.5889,STOP_LOSS,9,-64.81,9.6073,9.3999,23.6293,-83.81,-1.78
12,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-08-12 16:00:00+00:00,515.6976,512.9774,5.4926,2024-08-12 16:00:00+00:00,517.6,2024-08-12 16:15:00+00:00,517.6,0.002435,0.0,2024-08-12 16:30:00+00:00,518.6352,6.905412,3581.39,511.8789,511.8789,0,2024-08-12 18:45:00+00:00,508.8076,STOP_LOSS,9,-67.86,11.4604,11.2433,28.2439,-90.57,-1.941
