trade_id,symbol,direction,market_type,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
1,BNBUSDT,LONG,spot,2024-01-03 15:45:00+00:00,316.0381,314.7506,4.7681,2024-01-03 16:00:00+00:00,319.6,2024-01-03 16:45:00+00:00,319.4,2024-01-03 17:00:00+00:00,319.6597,8.528324,2726.16,313.7969,313.7969,0,2024-01-03 18:30:00+00:00,313.3262,STOP_LOSS,6,-54.01,2.1809,2.1377,5.3713,-58.33,-1.167
2,BNBUSDT,LONG,spot,2024-01-03 20:45:00+00:00,316.0413,315.5493,2.4008,2024-01-03 21:15:00+00:00,317.5,2024-01-03 22:15:00+00:00,316.1,2024-01-03 22:30:00+00:00,316.2581,31.120948,9842.25,315.0692,315.0692,0,2024-01-03 22:45:00+00:00,314.5966,STOP_LOSS,1,-51.71,7.8738,7.8324,19.6069,-67.41,-1.822
3,BNBUSDT,LONG,spot,2024-01-04 13:30:00+00:00,318.386,317.6247,1.8524,2024-01-04 14:30:00+00:00,320.1,2024-01-04 16:15:00+00:00,318.4,2024-01-04 16:30:00+00:00,318.4591,30.69628,9775.51,317.2542,318.8401,3,2024-01-04 19:30:00+00:00,318.3618,TRAILING_STOP,12,-2.99,7.8204,7.818,19.5465,-18.63,-0.504
4,BTCUSDT,LONG,spot,2024-01-05 11:30:00+00:00,43850.9245,43761.5785,203.8633,2024-01-05 13:00:00+00:00,44001.07,2024-01-05 13:15:00+00:00,43919.04,2024-01-05 13:30:00+00:00,43940.9995,0.222049,9757.07,43720.8058,43720.8058,0,2024-01-05 14:15:00+00:00,43655.2246,STOP_LOSS,3,-63.46,7.8057,7.7549,19.419,-79.02,-1.616
5,ETHUSDT,LONG,spot,2024-01-07 06:45:00+00:00,2245.7876,2243.5601,4.4797,2024-01-07 07:00:00+00:00,2249.58,2024-01-07 07:30:00+00:00,2249.09,2024-01-07 07:45:00+00:00,2250.2245,4.30128,9678.85,2242.6641,2242.6641,0,2024-01-07 08:30:00+00:00,2239.3001,STOP_LOSS,3,-46.99,7.7431,7.7055,19.2872,-62.44,-1.92
6,ETHUSDT,LONG,spot,2024-01-07 13:45:00+00:00,2242.933,2242.6763,6.02,2024-01-07 14:00:00+00:00,2249.85,2024-01-07 14:30:00+00:00,2248.38,2024-01-07 14:45:00+00:00,2249.5042,4.275179,9617.03,2241.4723,2241.4723,0,2024-01-07 15:15:00+00:00,2238.1101,STOP_LOSS,2,-48.71,7.6936,7.6547,19.161,-64.06,-1.866
7,BNBUSDT,LONG,spot,2024-01-10 01:00:00+00:00,301.3503,300.906,1.794,2024-01-10 01:15:00+00:00,302.3,2024-01-10 01:30:00+00:00,301.4,2024-01-10 01:45:00+00:00,301.5507,31.681613,9553.61,300.5472,300.5472,0,2024-01-10 02:45:00+00:00,300.0964,STOP_LOSS,4,-46.07,7.6429,7.606,19.0381,-61.32,-1.929
8,BNBUSDT,LONG,spot,2024-01-12 09:45:00+00:00,309.4059,308.7638,1.4228,2024-01-12 11:15:00+00:00,311.1,2024-01-12 12:45:00+00:00,311.3,2024-01-12 13:00:00+00:00,311.5557,15.58407,4855.31,308.4792,308.4792,0,2024-01-12 15:15:00+00:00,308.0165,STOP_LOSS,9,-55.15,3.8842,3.8401,9.6279,-62.88,-1.312
9,SOLUSDT,LONG,spot,2024-01-16 03:30:00+00:00,95.4017,95.2355,0.5312,2024-01-16 03:45:00+00:00,96.19,2024-01-16 05:45:00+00:00,95.46,2024-01-16 06:00:00+00:00,95.5077,98.742284,9430.65,95.1293,97.0286,4,2024-01-16 08:00:00+00:00,96.8831,TRAILING_STOP,8,135.81,7.5445,7.6532,19.065,120.61,3.227
10,ETHUSDT,LONG,spot,2024-01-16 08:45:00+00:00,2530.4663,2526.4373,8.7213,2024-01-16 09:00:00+00:00,2539.14,2024-01-16 10:15:00+00:00,2531.65,2024-01-16 10:30:00+00:00,2532.9258,3.770365,9550.05,2524.693,2524.693,0,2024-01-16 11:30:00+00:00,2520.906,STOP_LOSS,4,-45.32,7.64,7.6038,19.0321,-60.56,-1.951
11,SOLUSDT,LONG,spot,2024-01-16 15:30:00+00:00,96.4823,96.1452,1.0238,2024-01-16 15:45:00+00:00,97.25,2024-01-16 17:00:00+00:00,96.52,2024-01-16 17:15:00+00:00,96.5583,77.578615,7490.86,95.9404,97.6449,17,2024-01-16 23:15:00+00:00,97.4984,TRAILING_STOP,24,72.94,5.9927,6.051,15.0911,60.89,1.27
12,BNBUSDT,LONG,spot,2024-01-19 19:30:00+00:00,311.9715,311.6366,1.5947,2024-01-19 19:45:00+00:00,313.7,2024-01-19 21:00:00+00:00,312.8,2024-01-19 21:15:00+00:00,313.0564,27.7393,8683.97,311.3176,313.6211,2,2024-01-20 00:45:00+00:00,313.1506,TRAILING_STOP,14,2.61,6.9472,6.9493,17.3719,-11.28,-0.234
