trade_id,symbol,direction,market_type,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
1,BNBUSDT,SHORT,futures,2024-01-03 13:00:00+00:00,318.068,316.2591,8.7066,2024-01-03 14:00:00+00:00,307.32,2024-01-03 15:15:00+00:00,314.82,2024-01-03 15:30:00+00:00,314.6941,9.774769,3076.06,319.8093,319.8093,0,2024-01-03 16:00:00+00:00,320.1931,STOP_LOSS,2,-53.75,1.538,1.5649,4.9862,-56.85,-1.137
2,ETHUSDT,SHORT,futures,2024-01-06 20:15:00+00:00,2244.0718,2242.752,6.8483,2024-01-06 21:00:00+00:00,2238.51,2024-01-06 21:15:00+00:00,2239.7,2024-01-06 21:30:00+00:00,2238.8041,7.489382,16767.26,2245.4415,2240.4866,4,2024-01-07 00:00:00+00:00,2243.1752,TRAILING_STOP,10,-32.74,8.3836,8.4,26.8669,-49.52,-0.996
3,BNBUSDT,SHORT,futures,2024-01-07 09:30:00+00:00,307.4059,307.0894,1.2001,2024-01-07 09:45:00+00:00,305.8,2024-01-07 10:15:00+00:00,307.0,2024-01-07 10:30:00+00:00,306.8772,64.351475,19748.0,307.646,306.8036,9,2024-01-07 13:15:00+00:00,307.1718,TRAILING_STOP,11,-18.96,9.874,9.8835,31.6195,-38.71,-0.783
4,SOLUSDT,SHORT,futures,2024-01-07 16:15:00+00:00,94.9076,94.7167,0.8019,2024-01-07 16:30:00+00:00,94.161,2024-01-07 17:45:00+00:00,94.282,2024-01-07 18:00:00+00:00,94.2433,59.751025,5631.13,95.068,95.068,0,2024-01-07 20:00:00+00:00,95.1821,STOP_LOSS,8,-56.09,2.8156,2.8436,9.0771,-61.75,-1.253
5,BNBUSDT,SHORT,futures,2024-01-09 13:15:00+00:00,303.3271,302.7257,2.4281,2024-01-09 14:30:00+00:00,300.69,2024-01-09 16:15:00+00:00,301.41,2024-01-09 16:30:00+00:00,301.2994,19.483821,5870.46,303.8127,299.4108,5,2024-01-09 21:00:00+00:00,299.7701,TRAILING_STOP,18,29.8,2.9352,2.9203,9.357,23.94,0.489
6,BNBUSDT,SHORT,futures,2024-01-10 05:00:00+00:00,301.6782,301.4675,1.0652,2024-01-10 06:15:00+00:00,300.66,2024-01-10 06:45:00+00:00,300.93,2024-01-10 07:00:00+00:00,300.8096,45.384192,13652.0,301.8912,300.0268,7,2024-01-10 09:15:00+00:00,300.3868,TRAILING_STOP,9,19.19,6.826,6.8164,21.8202,5.55,0.113
7,BTCUSDT,SHORT,futures,2024-01-11 21:30:00+00:00,46618.4077,46522.2371,302.0891,2024-01-11 21:45:00+00:00,46156.5,2024-01-11 23:15:00+00:00,46321.5,2024-01-11 23:30:00+00:00,46302.9714,0.130677,6050.75,46678.8255,46162.4984,13,2024-01-12 05:45:00+00:00,46217.8934,TRAILING_STOP,25,11.12,3.0254,3.0198,9.6679,5.07,0.103
8,BNBUSDT,SHORT,futures,2024-01-14 23:15:00+00:00,304.4546,303.9941,1.4728,2024-01-14 23:30:00+00:00,301.37,2024-01-15 00:45:00+00:00,303.97,2024-01-15 01:00:00+00:00,303.8384,53.95949,16394.97,304.7492,304.7492,0,2024-01-15 01:30:00+00:00,305.1149,STOP_LOSS,2,-68.88,8.1975,8.2319,26.3146,-85.31,-1.736
9,ETHUSDT,SHORT,futures,2024-01-15 15:15:00+00:00,2528.3957,2525.2253,11.3912,2024-01-15 15:30:00+00:00,2519.46,2024-01-15 16:45:00+00:00,2524.28,2024-01-15 17:00:00+00:00,2523.2803,6.589049,16626.02,2530.674,2530.674,0,2024-01-15 17:15:00+00:00,2537.4112,STOP_LOSS,1,-93.11,8.313,8.3596,26.7134,-109.78,-2.253
10,BTCUSDT,SHORT,futures,2024-01-15 22:45:00+00:00,42771.3687,42700.0603,208.5921,2024-01-15 23:00:00+00:00,42580.0,2024-01-16 01:00:00+00:00,42680.6,2024-01-16 01:15:00+00:00,42663.5278,0.32207,13740.64,42813.0871,42813.0871,0,2024-01-16 03:15:00+00:00,42864.4628,STOP_LOSS,8,-64.72,6.8703,6.9027,22.0627,-78.49,-1.629
11,BNBUSDT,SHORT,futures,2024-01-18 18:30:00+00:00,311.8942,311.4047,1.588,2024-01-18 19:00:00+00:00,310.49,2024-01-18 19:45:00+00:00,308.41,2024-01-18 20:00:00+00:00,308.2866,12.171811,3752.41,312.2118,312.2118,0,2024-01-18 22:00:00+00:00,312.5864,STOP_LOSS,8,-52.34,1.8762,1.9024,6.0667,-56.11,-1.175
12,BNBUSDT,SHORT,futures,2024-01-19 16:30:00+00:00,312.0352,311.6538,2.0535,2024-01-19 16:45:00+00:00,308.03,2024-01-19 17:45:00+00:00,311.47,2024-01-19 18:00:00+00:00,311.3354,42.770141,13315.86,312.4459,312.4459,0,2024-01-19 19:30:00+00:00,312.8208,STOP_LOSS,6,-63.53,6.6579,6.6897,21.3816,-76.88,-1.619
13,ETHUSDT,SHORT,futures,2024-01-20 03:45:00+00:00,2484.4546,2482.4268,5.8117,2024-01-20 05:00:00+00:00,2478.73,2024-01-20 05:30:00+00:00,2476.73,2024-01-20 05:45:00+00:00,2475.7393,4.769478,11807.98,2485.6169,2485.6169,0,2024-01-20 07:15:00+00:00,2488.5997,STOP_LOSS,6,-61.34,5.904,5.9347,18.9664,-73.18,-1.553
14,SOLUSDT,SHORT,futures,2024-01-21 05:30:00+00:00,92.5652,92.4762,0.3623,2024-01-21 05:45:00+00:00,92.187,2024-01-21 07:30:00+00:00,92.431,2024-01-21 07:45:00+00:00,92.401,197.542019,18253.09,92.6377,92.6377,0,2024-01-21 08:00:00+00:00,92.7488,STOP_LOSS,1,-68.71,9.1265,9.1609,29.2874,-86.99,-1.861
