trade_id,symbol,direction,market_type,pullback_mode,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,low_distance_to_u,high_distance_to_l,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
1,BNBUSDT,SHORT,futures,STRICT_SUPPORT,2024-01-03 13:00:00+00:00,318.068,316.2591,8.7066,2024-01-03 13:00:00+00:00,312.59,2024-01-03 13:15:00+00:00,313.36,0.0,0.61908,2024-01-03 13:30:00+00:00,313.2247,7.59345,2378.46,319.8093,314.4813,5,2024-01-03 15:45:00+00:00,314.9875,TRAILING_STOP,9,-13.39,1.1892,1.1959,3.8216,-15.77,-0.315
2,ETHUSDT,SHORT,futures,STRICT_SUPPORT,2024-01-06 20:45:00+00:00,2243.7224,2242.7069,6.0872,2024-01-06 20:45:00+00:00,2241.49,2024-01-06 21:00:00+00:00,2238.51,0.0,0.486947,2024-01-06 21:15:00+00:00,2237.6146,6.814984,15249.31,2244.9398,2240.4866,4,2024-01-07 00:00:00+00:00,2243.1752,TRAILING_STOP,11,-37.9,7.6247,7.6436,24.4444,-53.16,-1.065
3,BNBUSDT,SHORT,futures,STRICT_SUPPORT,2024-01-07 09:30:00+00:00,307.4059,307.0894,1.2001,2024-01-07 09:30:00+00:00,306.11,2024-01-07 10:15:00+00:00,307.0,0.0,0.089388,2024-01-07 10:30:00+00:00,306.8772,64.601801,19824.82,307.646,306.8036,9,2024-01-07 13:15:00+00:00,307.1718,TRAILING_STOP,11,-19.03,9.9124,9.9219,31.7425,-38.87,-0.783
4,SOLUSDT,SHORT,futures,STRICT_SUPPORT,2024-01-07 17:00:00+00:00,94.8563,94.6389,0.9516,2024-01-07 17:00:00+00:00,94.562,2024-01-07 17:15:00+00:00,94.099,0.0,0.056903,2024-01-07 17:30:00+00:00,94.0624,50.259817,4727.56,95.0466,95.0466,0,2024-01-07 20:00:00+00:00,95.1607,STOP_LOSS,10,-55.2,2.3638,2.3914,7.6303,-59.96,-1.212
5,BNBUSDT,SHORT,futures,STRICT_SUPPORT,2024-01-09 14:15:00+00:00,303.214,302.7471,1.9632,2024-01-09 14:15:00+00:00,302.5,2024-01-09 14:30:00+00:00,300.69,0.0,0.107052,2024-01-09 14:45:00+00:00,300.5597,16.137193,4850.19,303.6067,299.4108,2,2024-01-09 21:00:00+00:00,299.7701,TRAILING_STOP,25,12.74,2.4251,2.4187,7.745,7.9,0.161
6,SOLUSDT,SHORT,futures,STRICT_SUPPORT,2024-01-09 22:00:00+00:00,99.6408,99.0691,3.2564,2024-01-09 22:00:00+00:00,96.812,2024-01-09 22:15:00+00:00,98.891,0.0,0.099075,2024-01-09 22:30:00+00:00,98.8514,34.157994,3376.57,100.2921,100.0118,3,2024-01-10 02:15:00+00:00,100.1319,TRAILING_STOP,15,-43.74,1.6883,1.7102,5.455,-47.13,-0.958
7,BTCUSDT,SHORT,futures,STRICT_SUPPORT,2024-01-11 06:45:00+00:00,46213.1608,46128.5256,218.1441,2024-01-11 06:45:00+00:00,45899.8,2024-01-11 07:00:00+00:00,46100.9,0.0,4.225557,2024-01-11 07:15:00+00:00,46082.4596,0.280929,12945.91,46256.7896,46256.7896,0,2024-01-11 08:15:00+00:00,46312.2978,STOP_LOSS,4,-64.57,6.473,6.5052,20.7909,-77.55,-1.583
8,BTCUSDT,SHORT,futures,STRICT_SUPPORT,2024-01-11 21:30:00+00:00,46618.4077,46522.2371,302.0891,2024-01-11 21:30:00+00:00,46229.6,2024-01-11 23:15:00+00:00,46321.5,0.0,28.237148,2024-01-11 23:30:00+00:00,46302.9714,0.129287,5986.38,46678.8255,46162.4984,13,2024-01-12 05:45:00+00:00,46217.8934,TRAILING_STOP,25,11.0,2.9932,2.9877,9.565,5.02,0.103
9,BTCUSDT,SHORT,futures,STRICT_SUPPORT,2024-01-15 15:00:00+00:00,42639.4542,42575.8004,197.9942,2024-01-15 15:00:00+00:00,42395.2,2024-01-15 16:45:00+00:00,42525.0,0.0,15.200357,2024-01-15 17:00:00+00:00,42507.99,0.28423,12082.04,42679.0531,42679.0531,0,2024-01-15 17:15:00+00:00,42744.2316,STOP_LOSS,1,-67.15,6.041,6.0746,19.4118,-79.26,-1.63
10,BTCUSDT,SHORT,futures,STRICT_SUPPORT,2024-01-16 01:30:00+00:00,42681.9615,42658.313,124.3124,2024-01-16 01:30:00+00:00,42568.0,2024-01-16 01:45:00+00:00,42591.7,0.0,8.312993,2024-01-16 02:00:00+00:00,42574.6633,0.364896,15535.33,42706.8239,42706.8239,0,2024-01-16 02:15:00+00:00,42758.0721,STOP_LOSS,1,-66.93,7.7677,7.8011,24.9368,-82.49,-1.711
