trade_id,symbol,direction,market_type,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
1,BTCUSDT,LONG,spot,2024-01-09 16:15:00+00:00,46683.3002,46578.9379,269.0148,2024-01-09 16:30:00+00:00,46850.0,2024-01-09 17:30:00+00:00,46687.64,2024-01-09 17:45:00+00:00,46710.9838,0.211942,9900.0,46525.1349,46525.1349,0,2024-01-09 18:30:00+00:00,46455.3472,STOP_LOSS,3,-54.18,7.92,7.8767,19.7187,-69.98,-1.777
2,BTCUSDT,LONG,spot,2024-01-09 18:15:00+00:00,46748.2905,46686.1248,199.7157,2024-01-09 19:45:00+00:00,46876.01,2024-01-09 20:15:00+00:00,46768.65,2024-01-09 20:30:00+00:00,46792.0343,0.210094,9830.72,46646.1817,46646.1817,0,2024-01-09 20:45:00+00:00,46576.2124,STOP_LOSS,1,-45.34,7.8646,7.8283,19.5934,-61.04,-1.992
3,BTCUSDT,LONG,spot,2024-01-29 10:45:00+00:00,42184.566,42156.0556,107.8322,2024-01-29 11:00:00+00:00,42338.03,2024-01-29 11:45:00+00:00,42246.95,2024-01-29 12:00:00+00:00,42268.0735,0.231151,9770.3,42134.4892,42134.4892,0,2024-01-29 12:30:00+00:00,42071.2874,STOP_LOSS,2,-45.49,7.8162,7.7798,19.4724,-61.08,-1.978
4,BTCUSDT,LONG,spot,2024-01-30 20:45:00+00:00,43443.887,43376.1367,140.328,2024-01-30 21:00:00+00:00,43553.79,2024-01-30 22:30:00+00:00,43474.78,2024-01-30 22:45:00+00:00,43496.5174,0.223232,9709.83,43348.0711,43348.0711,0,2024-01-30 23:00:00+00:00,43262.7883,STOP_LOSS,1,-52.18,7.7679,7.7261,19.3414,-67.67,-2.042
5,SOLUSDT,LONG,spot,2024-02-03 00:45:00+00:00,100.003,99.9947,0.5544,2024-02-03 01:15:00+00:00,100.57,2024-02-03 01:30:00+00:00,100.21,2024-02-03 01:45:00+00:00,100.2601,96.178156,9642.83,99.8838,99.8838,0,2024-02-03 02:00:00+00:00,99.734,STOP_LOSS,1,-50.6,7.7143,7.6738,19.2098,-65.99,-1.823
6,SOLUSDT,LONG,spot,2024-02-19 11:30:00+00:00,112.375,112.1776,0.6302,2024-02-19 12:00:00+00:00,112.76,2024-02-19 12:15:00+00:00,112.38,2024-02-19 12:30:00+00:00,112.4262,85.189261,9577.5,112.0516,112.0516,0,2024-02-19 12:45:00+00:00,111.8835,STOP_LOSS,1,-46.23,7.662,7.625,19.0857,-61.52,-1.928
7,SOLUSDT,LONG,spot,2024-02-19 13:00:00+00:00,112.3294,112.213,0.8952,2024-02-19 13:15:00+00:00,114.2,2024-02-19 14:00:00+00:00,113.27,2024-02-19 14:15:00+00:00,113.3366,36.896185,4181.69,112.034,113.2178,4,2024-02-19 16:30:00+00:00,113.048,TRAILING_STOP,9,-10.65,3.3454,3.3368,8.3474,-17.33,-0.361
8,SOLUSDT,LONG,spot,2024-02-19 14:45:00+00:00,112.651,112.3656,0.8828,2024-02-19 15:00:00+00:00,113.82,2024-02-19 16:45:00+00:00,112.67,2024-02-19 17:00:00+00:00,112.7263,84.269932,9499.44,112.189,112.189,0,2024-02-19 18:00:00+00:00,112.0208,STOP_LOSS,4,-59.46,7.5996,7.552,18.9097,-74.61,-1.648
9,BTCUSDT,LONG,spot,2024-02-22 20:30:00+00:00,51620.755,51543.6235,174.6295,2024-02-22 20:45:00+00:00,51995.58,2024-02-22 21:15:00+00:00,51713.1,2024-02-22 21:30:00+00:00,51738.9565,0.182176,9425.58,51508.6976,51508.6976,0,2024-02-22 22:15:00+00:00,51431.4345,STOP_LOSS,3,-56.02,7.5405,7.4956,18.7671,-71.06,-1.694
10,BNBUSDT,LONG,spot,2024-02-26 10:15:00+00:00,386.99,385.909,2.1658,2024-02-26 10:45:00+00:00,388.1,2024-02-26 11:00:00+00:00,390.8,2024-02-26 11:15:00+00:00,390.8953,8.71824,3407.92,385.4758,394.6275,3,2024-02-26 15:15:00+00:00,394.0356,TRAILING_STOP,16,27.38,2.7263,2.7482,6.8569,21.9,0.464
11,SOLUSDT,LONG,spot,2024-03-05 05:15:00+00:00,130.8063,130.367,1.5214,2024-03-05 05:30:00+00:00,131.86,2024-03-05 07:00:00+00:00,130.89,2024-03-05 07:15:00+00:00,130.9554,53.04947,6947.12,130.0627,130.0627,0,2024-03-05 07:30:00+00:00,129.8676,STOP_LOSS,1,-57.71,5.5577,5.5115,13.8077,-68.78,-1.452
12,SOLUSDT,LONG,spot,2024-03-05 09:00:00+00:00,131.0198,130.6605,1.0281,2024-03-05 10:30:00+00:00,131.57,2024-03-05 12:00:00+00:00,131.79,2024-03-05 12:15:00+00:00,131.8559,33.557215,4424.72,130.4549,135.4166,2,2024-03-05 15:00:00+00:00,135.2134,TRAILING_STOP,11,112.67,3.5398,3.6299,9.0184,105.5,2.244
13,SOLUSDT,LONG,spot,2024-03-31 09:15:00+00:00,196.002,195.582,0.8665,2024-03-31 09:30:00+00:00,196.63,2024-03-31 11:00:00+00:00,196.5,2024-03-31 11:15:00+00:00,196.5982,39.966332,7857.31,195.4087,197.867,3,2024-03-31 19:15:00+00:00,199.89,TIME_EXIT_8H,32,131.56,6.2858,6.3911,7.9231,118.88,2.501
14,SOLUSDT,LONG,spot,2024-04-12 05:15:00+00:00,173.782,173.4927,0.7034,2024-04-12 05:30:00+00:00,174.58,2024-04-12 06:30:00+00:00,174.53,2024-04-12 06:45:00+00:00,174.6173,38.044754,6643.27,173.352,173.352,0,2024-04-12 07:30:00+00:00,173.092,STOP_LOSS,3,-58.03,5.3146,5.2682,13.1995,-68.61,-1.425
15,BNBUSDT,LONG,spot,2024-04-24 23:15:00+00:00,606.21,605.114,3.3768,2024-04-24 23:30:00+00:00,608.7,2024-04-25 00:15:00+00:00,606.4,2024-04-25 00:30:00+00:00,606.7032,15.59747,9463.03,604.4386,604.4386,0,2024-04-25 01:45:00+00:00,603.532,STOP_LOSS,5,-49.46,7.5704,7.5309,18.8519,-64.56,-1.828
16,BNBUSDT,LONG,spot,2024-04-25 05:00:00+00:00,606.349,605.316,2.8205,2024-04-25 06:15:00+00:00,608.1,2024-04-25 06:30:00+00:00,607.1,2024-04-25 06:45:00+00:00,607.5036,15.471705,9399.12,604.7519,608.432,3,2024-04-25 10:00:00+00:00,607.5194,TRAILING_STOP,13,0.24,7.5193,7.5195,18.7986,-14.79,-0.348
17,BNBUSDT,LONG,spot,2024-04-25 08:45:00+00:00,606.986,606.45,2.6084,2024-04-25 09:00:00+00:00,611.9,2024-04-25 10:00:00+00:00,609.3,2024-04-25 10:15:00+00:00,609.7047,12.550716,7652.23,605.9283,605.9283,0,2024-04-25 10:30:00+00:00,605.0194,STOP_LOSS,1,-58.8,6.1218,6.0747,15.2163,-71.0,-1.498
18,SOLUSDT,LONG,spot,2024-04-28 18:45:00+00:00,142.5256,142.3326,0.5882,2024-04-28 19:00:00+00:00,143.38,2024-04-28 19:30:00+00:00,142.78,2024-04-28 19:45:00+00:00,142.8514,65.201885,9314.18,142.215,142.215,0,2024-04-28 20:00:00+00:00,141.8469,STOP_LOSS,1,-65.49,7.4513,7.3989,18.5301,-80.34,-1.936
19,BTCUSDT,LONG,spot,2024-05-05 09:15:00+00:00,63610.5885,63531.54,187.8718,2024-05-05 10:00:00+00:00,63764.0,2024-05-05 10:30:00+00:00,63655.99,2024-05-05 10:45:00+00:00,63687.828,0.144998,9234.64,63493.9656,63637.7371,5,2024-05-05 12:30:00+00:00,63542.2804,TRAILING_STOP,7,-21.1,7.3877,7.3708,18.4376,-35.86,-1.276
20,ETHUSDT,LONG,spot,2024-05-24 00:30:00+00:00,3796.7822,3781.7725,39.815,2024-05-24 01:30:00+00:00,3816.99,2024-05-24 02:15:00+00:00,3803.8,2024-05-24 02:30:00+00:00,3805.6919,1.457239,5545.8,3773.8095,3773.8095,0,2024-05-24 05:15:00+00:00,3768.1488,STOP_LOSS,11,-54.71,4.4366,4.3929,11.0095,-63.54,-1.368
21,ETHUSDT,LONG,spot,2024-06-01 02:45:00+00:00,3771.3834,3767.9285,8.4437,2024-06-01 03:00:00+00:00,3778.94,2024-06-01 04:15:00+00:00,3775.28,2024-06-01 04:30:00+00:00,3777.1676,2.418805,9136.23,3766.2398,3781.3963,7,2024-06-01 07:30:00+00:00,3775.7242,TRAILING_STOP,12,-3.49,7.309,7.3062,18.2672,-18.11,-0.685
22,BTCUSDT,LONG,spot,2024-06-06 13:00:00+00:00,71090.6554,71024.9026,175.1869,2024-06-06 13:30:00+00:00,71493.21,2024-06-06 14:00:00+00:00,71182.83,2024-06-06 14:15:00+00:00,71218.4314,0.128033,9118.31,70989.8652,71249.8759,5,2024-06-06 16:00:00+00:00,71143.0011,TRAILING_STOP,7,-9.66,7.2946,7.2869,18.2221,-24.24,-0.828
23,BNBUSDT,LONG,spot,2024-06-07 03:45:00+00:00,705.812,705.225,2.4142,2024-06-07 04:45:00+00:00,707.5,2024-06-07 05:15:00+00:00,706.8,2024-06-07 05:30:00+00:00,707.2534,12.858629,9094.31,704.7422,704.7422,0,2024-06-07 07:15:00+00:00,703.685,STOP_LOSS,7,-45.88,7.2754,7.2387,18.1198,-60.4,-1.87
24,ETHUSDT,LONG,spot,2024-06-16 10:30:00+00:00,3561.5634,3558.9124,7.1673,2024-06-16 10:45:00+00:00,3569.14,2024-06-16 11:00:00+00:00,3566.64,2024-06-16 11:15:00+00:00,3568.4233,2.531794,9034.51,3557.4789,3557.4789,0,2024-06-16 11:45:00+00:00,3552.1427,STOP_LOSS,2,-41.22,7.2276,7.1946,18.0072,-55.64,-2.008
25,SOLUSDT,LONG,spot,2024-06-23 01:30:00+00:00,134.4668,134.2666,0.4377,2024-06-23 01:45:00+00:00,134.94,2024-06-23 02:45:00+00:00,134.79,2024-06-23 03:00:00+00:00,134.8674,65.884582,8885.68,134.1791,134.1791,0,2024-06-23 10:30:00+00:00,133.9778,STOP_LOSS,30,-58.61,7.1085,7.0617,17.6834,-72.78,-1.605
26,SOLUSDT,LONG,spot,2024-06-27 04:00:00+00:00,136.9305,136.6748,0.6288,2024-06-27 04:15:00+00:00,137.48,2024-06-27 04:45:00+00:00,136.98,2024-06-27 05:00:00+00:00,137.0485,64.994337,8907.38,136.549,136.549,0,2024-06-27 05:15:00+00:00,136.3252,STOP_LOSS,1,-47.01,7.1259,7.0883,17.7442,-61.22,-1.886
27,BNBUSDT,LONG,spot,2024-07-11 04:00:00+00:00,524.235,523.746,2.4223,2024-07-11 04:30:00+00:00,525.5,2024-07-11 05:30:00+00:00,525.6,2024-07-11 05:45:00+00:00,525.8628,16.823332,8846.76,523.2615,533.1977,15,2024-07-11 12:15:00+00:00,532.3979,TRAILING_STOP,26,109.94,7.0774,7.1654,17.8584,95.7,2.187
28,BNBUSDT,LONG,spot,2024-07-20 14:00:00+00:00,591.0,590.501,1.9388,2024-07-20 14:30:00+00:00,592.9,2024-07-20 14:45:00+00:00,591.6,2024-07-20 15:00:00+00:00,591.8958,15.106555,8941.51,590.1132,593.4194,6,2024-07-20 16:45:00+00:00,592.5293,TRAILING_STOP,7,9.57,7.1532,7.1609,17.8974,-4.74,-0.176
29,BTCUSDT,LONG,spot,2024-07-27 21:00:00+00:00,68455.0074,68175.5159,770.9096,2024-07-27 21:15:00+00:00,68900.0,2024-07-27 22:30:00+00:00,68684.0,2024-07-27 22:45:00+00:00,68718.332,0.064757,4449.98,68021.334,68021.334,0,2024-07-27 23:45:00+00:00,67919.302,STOP_LOSS,4,-51.74,3.56,3.5186,8.8224,-58.82,-1.303
30,SOLUSDT,LONG,spot,2024-07-27 23:30:00+00:00,183.9897,183.5485,1.3083,2024-07-28 00:30:00+00:00,184.75,2024-07-28 00:45:00+00:00,184.91,2024-07-28 01:00:00+00:00,185.0125,25.985518,4807.64,183.2868,184.8409,5,2024-07-28 03:00:00+00:00,184.5636,TRAILING_STOP,8,-11.66,3.8461,3.8368,9.5978,-19.35,-0.431
31,ETHUSDT,LONG,spot,2024-08-07 04:45:00+00:00,2490.3342,2487.521,19.4785,2024-08-07 05:00:00+00:00,2523.5,2024-08-07 07:00:00+00:00,2492.27,2024-08-07 07:15:00+00:00,2493.5261,3.55297,8859.42,2483.6253,2519.7179,12,2024-08-07 10:45:00+00:00,2515.9383,TRAILING_STOP,14,79.63,7.0875,7.1512,17.8383,65.39,1.859
32,SOLUSDT,LONG,spot,2024-08-22 17:30:00+00:00,143.0852,142.8293,0.5684,2024-08-22 18:30:00+00:00,143.44,2024-08-22 19:00:00+00:00,143.12,2024-08-22 19:15:00+00:00,143.1816,62.327585,8924.16,142.7156,142.7156,0,2024-08-22 19:45:00+00:00,142.5015,STOP_LOSS,2,-42.38,7.1393,7.1054,17.7847,-56.63,-1.95
33,BTCUSDT,LONG,spot,2024-08-25 00:15:00+00:00,64102.21,64033.379,200.7592,2024-08-25 00:30:00+00:00,64232.0,2024-08-25 00:45:00+00:00,64175.99,2024-08-25 01:00:00+00:00,64208.068,0.138115,8868.1,63993.2272,63993.2272,0,2024-08-25 06:45:00+00:00,63897.2373,STOP_LOSS,23,-42.93,7.0945,7.0601,17.6718,-57.09,-1.924
34,SOLUSDT,LONG,spot,2024-09-08 23:00:00+00:00,129.1375,128.6599,0.9961,2024-09-08 23:15:00+00:00,130.12,2024-09-09 00:45:00+00:00,130.12,2024-09-09 01:00:00+00:00,130.1851,25.808148,3359.84,128.4607,128.4607,0,2024-09-09 02:15:00+00:00,128.268,STOP_LOSS,5,-49.48,2.6879,2.6483,6.6455,-54.81,-1.232
35,SOLUSDT,LONG,spot,2024-09-09 10:30:00+00:00,129.2976,129.0747,0.6084,2024-09-09 10:45:00+00:00,129.91,2024-09-09 11:30:00+00:00,129.52,2024-09-09 11:45:00+00:00,129.5948,67.574649,8757.32,128.953,128.953,0,2024-09-09 12:15:00+00:00,128.7596,STOP_LOSS,2,-56.44,7.0059,6.9607,17.43,-70.4,-1.623
36,BNBUSDT,LONG,spot,2024-09-13 00:15:00+00:00,541.939,541.265,1.6953,2024-09-13 00:30:00+00:00,544.7,2024-09-13 01:30:00+00:00,542.2,2024-09-13 01:45:00+00:00,542.371,16.017857,8687.62,540.9259,543.5617,4,2024-09-13 03:00:00+00:00,542.7464,TRAILING_STOP,5,6.01,6.9501,6.9549,17.3843,-7.89,-0.341
37,BNBUSDT,LONG,spot,2024-09-13 11:30:00+00:00,542.826,542.345,1.5904,2024-09-13 11:45:00+00:00,546.0,2024-09-13 12:30:00+00:00,546.1,2024-09-13 12:45:00+00:00,546.3731,10.086519,5511.0,542.0269,549.0361,4,2024-09-13 15:15:00+00:00,548.2126,TRAILING_STOP,10,18.55,4.4088,4.4236,11.0498,9.72,0.222
38,BNBUSDT,LONG,spot,2024-09-24 11:15:00+00:00,603.506,602.91,1.7513,2024-09-24 11:30:00+00:00,604.5,2024-09-24 12:00:00+00:00,604.4,2024-09-24 12:15:00+00:00,604.6021,14.37215,8689.43,602.5597,604.6731,3,2024-09-24 14:00:00+00:00,603.766,TRAILING_STOP,7,-12.02,6.9515,6.9419,17.3608,-25.91,-0.883
39,BNBUSDT,LONG,spot,2024-09-24 14:45:00+00:00,604.732,603.602,3.4824,2024-09-24 15:00:00+00:00,607.6,2024-09-24 15:30:00+00:00,605.3,2024-09-24 15:45:00+00:00,605.6026,14.30605,8663.78,602.9055,608.1605,14,2024-09-24 21:15:00+00:00,607.2482,TRAILING_STOP,22,23.54,6.931,6.9499,17.3629,9.66,0.25
40,SOLUSDT,LONG,spot,2024-09-29 02:30:00+00:00,157.1383,156.9922,0.6001,2024-09-29 02:45:00+00:00,157.67,2024-09-29 03:15:00+00:00,157.48,2024-09-29 03:30:00+00:00,157.5487,55.051829,8673.35,156.8722,156.8722,0,2024-09-29 04:45:00+00:00,156.6369,STOP_LOSS,5,-50.2,6.9387,6.8985,17.2714,-64.04,-1.719
41,SOLUSDT,LONG,spot,2024-09-29 14:15:00+00:00,156.8027,156.613,0.6323,2024-09-29 15:45:00+00:00,157.28,2024-09-29 16:15:00+00:00,156.92,2024-09-29 16:30:00+00:00,157.0085,54.837487,8609.95,156.4865,159.4466,13,2024-09-29 20:15:00+00:00,159.2074,TRAILING_STOP,15,120.58,6.888,6.9844,17.4008,106.71,3.728
42,BNBUSDT,LONG,spot,2024-10-15 15:30:00+00:00,589.995,587.35,5.4434,2024-10-15 16:30:00+00:00,593.1,2024-10-15 17:00:00+00:00,591.2,2024-10-15 17:15:00+00:00,591.4956,8.409587,4974.23,586.2613,586.2613,0,2024-10-16 01:15:00+00:00,595.802,TIME_EXIT_8H,32,36.21,3.9794,4.0084,4.9923,28.23,0.641
43,BNBUSDT,LONG,spot,2024-10-20 13:45:00+00:00,596.809,596.478,1.014,2024-10-20 14:00:00+00:00,599.9,2024-10-20 15:15:00+00:00,597.8,2024-10-20 15:30:00+00:00,598.0989,14.618884,8743.54,596.2752,600.9381,3,2024-10-20 22:15:00+00:00,599.6991,TRAILING_STOP,27,23.39,6.9948,7.0135,17.5222,9.38,0.352
44,SOLUSDT,LONG,spot,2024-10-22 11:00:00+00:00,166.7132,166.249,1.1972,2024-10-22 11:15:00+00:00,168.3,2024-10-22 12:15:00+00:00,167.15,2024-10-22 12:30:00+00:00,167.2336,36.115817,6039.78,166.0096,166.0096,0,2024-10-22 12:45:00+00:00,165.751,STOP_LOSS,1,-53.54,4.8318,4.789,11.9992,-63.17,-1.429
45,BTCUSDT,LONG,spot,2024-10-30 22:15:00+00:00,72261.4791,72113.8498,301.7207,2024-10-30 23:00:00+00:00,72564.0,2024-10-31 00:15:00+00:00,72315.2,2024-10-31 00:30:00+00:00,72351.3576,0.120112,8690.3,72053.5057,72053.5057,0,2024-10-31 01:30:00+00:00,71945.4254,STOP_LOSS,4,-48.76,6.9522,6.9132,17.3075,-62.62,-1.75
46,BTCUSDT,LONG,spot,2024-11-12 19:45:00+00:00,87759.8042,87493.8072,665.7648,2024-11-12 20:00:00+00:00,89098.99,2024-11-12 22:00:00+00:00,88003.98,2024-11-12 22:15:00+00:00,88047.982,0.063401,5582.33,87360.6542,87360.6542,0,2024-11-13 02:15:00+00:00,87229.6133,STOP_LOSS,16,-51.89,4.4659,4.4244,11.0868,-60.78,-1.395
47,BTCUSDT,LONG,spot,2024-11-13 12:00:00+00:00,87540.9659,87438.421,336.1384,2024-11-13 12:15:00+00:00,87732.0,2024-11-13 12:30:00+00:00,87947.99,2024-11-13 12:45:00+00:00,87991.974,0.069708,6133.75,87371.1933,88676.9279,2,2024-11-13 14:00:00+00:00,88543.9125,TRAILING_STOP,5,38.47,4.907,4.9378,12.3252,28.63,0.662
48,BNBUSDT,LONG,spot,2024-11-20 14:00:00+00:00,613.3025,612.448,2.7017,2024-11-20 14:15:00+00:00,617.06,2024-11-20 14:30:00+00:00,615.43,2024-11-20 14:45:00+00:00,615.7477,11.306215,6961.78,611.9077,611.9077,0,2024-11-20 15:00:00+00:00,610.9898,STOP_LOSS,1,-53.79,5.5694,5.5264,13.8429,-64.89,-1.495
49,SOLUSDT,LONG,spot,2024-11-30 06:00:00+00:00,242.2572,242.0355,1.0286,2024-11-30 06:15:00+00:00,243.83,2024-11-30 06:45:00+00:00,242.74,2024-11-30 07:00:00+00:00,242.8714,35.130668,8532.23,241.8298,243.2726,10,2024-11-30 10:15:00+00:00,242.9077,TRAILING_STOP,13,1.28,6.8258,6.8268,17.0664,-12.38,-0.338
50,ETHUSDT,LONG,spot,2024-12-01 13:15:00+00:00,3694.4282,3691.3672,11.3495,2024-12-01 13:30:00+00:00,3711.06,2024-12-01 14:00:00+00:00,3707.4,2024-12-01 14:15:00+00:00,3709.2537,2.134817,7918.58,3689.0973,3717.691,1,2024-12-01 17:00:00+00:00,3712.1145,TRAILING_STOP,11,6.11,6.3349,6.3397,15.8463,-6.57,-0.153
51,BNBUSDT,LONG,spot,2024-12-05 17:15:00+00:00,729.4422,727.676,5.3859,2024-12-05 17:30:00+00:00,732.61,2024-12-05 18:15:00+00:00,730.59,2024-12-05 18:30:00+00:00,730.9653,9.847142,7197.92,726.5988,726.5988,0,2024-12-05 18:45:00+00:00,725.5089,STOP_LOSS,1,-53.73,5.7583,5.7154,14.3152,-65.2,-1.516
52,BNBUSDT,LONG,spot,2024-12-17 11:00:00+00:00,719.2374,718.659,2.5432,2024-12-17 11:15:00+00:00,720.84,2024-12-17 11:45:00+00:00,720.31,2024-12-17 12:00:00+00:00,720.6601,11.723875,8448.93,718.1504,718.1504,0,2024-12-17 12:15:00+00:00,717.0731,STOP_LOSS,1,-42.05,6.7591,6.7255,16.8348,-55.54,-1.887
