trade_id,symbol,direction,market_type,pullback_mode,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,low_distance_to_u,high_distance_to_l,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
1,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-01-03 16:25:00+00:00,316.2674,315.3299,2.6472,2024-01-03 16:25:00+00:00,320.3,2024-01-03 16:45:00+00:00,319.9,0.032616,0.0,2024-01-03 16:50:00+00:00,319.9599,9.690964,3100.72,314.8005,314.8005,0,2024-01-03 18:30:00+00:00,314.3283,STOP_LOSS,20,-54.58,2.4806,2.4369,6.1196,-59.49,-1.19
2,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-01-05 09:35:00+00:00,101.9037,101.6983,0.5483,2024-01-05 09:35:00+00:00,102.43,2024-01-05 09:40:00+00:00,102.0,0.046346,0.0,2024-01-05 09:45:00+00:00,102.051,96.433169,9841.1,101.5886,101.7088,1,2024-01-05 10:05:00+00:00,101.5562,TRAILING_STOP,4,-47.71,7.8729,7.8347,19.6106,-63.42,-1.422
3,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-01-06 23:40:00+00:00,306.6262,306.5661,0.7845,2024-01-06 23:40:00+00:00,307.1,2024-01-07 00:00:00+00:00,306.8,0.073848,0.0,2024-01-07 00:05:00+00:00,306.8533,31.866407,9778.31,306.4092,307.2827,4,2024-01-07 01:00:00+00:00,306.8218,TRAILING_STOP,11,-1.01,7.8227,7.8218,19.5551,-16.65,-1.176
4,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-01-07 06:25:00+00:00,94.394,94.1694,0.6129,2024-01-07 06:25:00+00:00,94.79,2024-01-07 06:30:00+00:00,94.51,0.045961,0.0,2024-01-07 06:35:00+00:00,94.5673,94.739793,8959.28,94.0469,94.4128,1,2024-01-07 07:35:00+00:00,94.2712,TRAILING_STOP,12,-28.05,7.1674,7.145,17.8765,-42.36,-0.859
5,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-01-07 19:45:00+00:00,94.5614,94.4814,0.2954,2024-01-07 19:45:00+00:00,94.77,2024-01-07 19:50:00+00:00,94.81,0.018598,0.0,2024-01-07 19:55:00+00:00,94.8374,102.490092,9719.89,94.4223,94.6575,1,2024-01-07 20:15:00+00:00,94.5156,TRAILING_STOP,4,-32.98,7.7759,7.7495,19.3903,-48.51,-1.14
6,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-01-07 20:05:00+00:00,94.6049,94.5569,0.3272,2024-01-07 20:05:00+00:00,95.09,2024-01-07 20:15:00+00:00,94.71,0.015101,0.0,2024-01-07 20:20:00+00:00,94.7473,102.080618,9671.87,94.4914,94.4914,0,2024-01-07 20:35:00+00:00,94.3497,STOP_LOSS,3,-40.59,7.7375,7.705,19.2828,-56.03,-2.145
7,BTCUSDT,LONG,spot,STRICT_SUPPORT,2024-01-09 12:45:00+00:00,46654.563,46638.322,98.8713,2024-01-09 12:45:00+00:00,46792.0,2024-01-09 12:50:00+00:00,46809.68,7.137016,0.0,2024-01-09 12:55:00+00:00,46833.0948,0.205333,9616.39,46618.5477,46618.5477,0,2024-01-09 13:00:00+00:00,46097.1105,STOP_LOSS,1,-151.12,7.6931,7.5722,19.0061,-166.39,-3.777
8,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-01-09 14:00:00+00:00,100.9072,100.7068,1.0597,2024-01-09 14:00:00+00:00,101.44,2024-01-09 14:10:00+00:00,101.56,0.022751,0.0,2024-01-09 14:15:00+00:00,101.6208,42.397612,4308.48,100.4949,100.4949,0,2024-01-09 14:30:00+00:00,100.3441,STOP_LOSS,3,-54.13,3.4468,3.4035,8.5358,-60.98,-1.277
9,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-01-09 16:50:00+00:00,100.5348,100.3166,0.6532,2024-01-09 16:50:00+00:00,100.62,2024-01-09 16:55:00+00:00,100.89,0.02516,0.0,2024-01-09 17:00:00+00:00,100.9505,62.042511,6263.22,100.186,100.186,0,2024-01-09 17:05:00+00:00,100.0357,STOP_LOSS,1,-56.75,5.0106,4.9652,12.4413,-66.73,-1.407
10,BTCUSDT,LONG,spot,STRICT_SUPPORT,2024-01-09 19:20:00+00:00,46703.4938,46671.9973,95.932,2024-01-09 19:20:00+00:00,46706.01,2024-01-09 19:25:00+00:00,46748.49,2.036234,0.0,2024-01-09 19:30:00+00:00,46771.8642,0.199377,9325.24,46652.8109,46741.3246,2,2024-01-09 20:15:00+00:00,46671.2126,TRAILING_STOP,9,-20.07,7.4602,7.4441,18.6204,-34.97,-1.473
