trade_id,symbol,direction,market_type,pullback_mode,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,low_distance_to_u,high_distance_to_l,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
1,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-01-06 23:45:00+00:00,306.677,306.612,0.7865,2024-01-06 23:45:00+00:00,307.5,2024-01-07 00:00:00+00:00,306.8,0.023,0.0,2024-01-07 00:05:00+00:00,306.8533,32.262969,9900.0,306.4547,307.2827,4,2024-01-07 01:00:00+00:00,306.8218,TRAILING_STOP,11,-1.02,7.92,7.9192,19.7985,-16.86,-1.311
2,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-01-09 02:45:00+00:00,97.7368,97.5554,0.6456,2024-01-09 02:45:00+00:00,98.52,2024-01-09 03:10:00+00:00,98.03,0.0632,0.0,2024-01-09 03:15:00+00:00,98.079,76.470973,7500.2,97.4263,100.5847,8,2024-01-09 04:15:00+00:00,100.4339,TRAILING_STOP,12,180.08,6.0002,6.1442,15.2705,167.93,3.364
3,ETHUSDT,LONG,spot,STRICT_SUPPORT,2024-01-11 23:10:00+00:00,2609.991,2608.639,5.3559,2024-01-11 23:10:00+00:00,2619.13,2024-01-11 23:30:00+00:00,2614.72,0.419,0.0,2024-01-11 23:35:00+00:00,2616.0274,3.841537,10049.56,2607.5678,2614.0416,2,2024-01-12 00:15:00+00:00,2610.1205,TRAILING_STOP,8,-22.69,8.0397,8.0215,20.0651,-38.75,-1.192
4,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-01-14 13:45:00+00:00,304.282,304.075,0.6431,2024-01-14 13:45:00+00:00,304.7,2024-01-14 14:05:00+00:00,305.0,0.018,0.0,2024-01-14 14:10:00+00:00,305.1525,32.807203,10011.2,303.9464,303.9464,0,2024-01-14 14:20:00+00:00,303.4905,STOP_LOSS,2,-54.53,8.009,7.9653,19.9406,-70.5,-1.782
5,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-01-28 16:20:00+00:00,97.5467,97.346,0.4606,2024-01-28 16:20:00+00:00,97.75,2024-01-28 16:25:00+00:00,97.76,0.0333,0.0,2024-01-28 16:30:00+00:00,97.8189,88.863734,8692.55,97.2539,97.2539,0,2024-01-28 16:35:00+00:00,97.108,STOP_LOSS,1,-63.17,6.954,6.9035,17.2903,-77.03,-1.534
6,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-01-29 10:10:00+00:00,97.1584,97.0644,0.3021,2024-01-29 10:10:00+00:00,97.34,2024-01-29 10:15:00+00:00,97.42,0.0216,0.0,2024-01-29 10:20:00+00:00,97.4587,101.223832,9865.14,97.004,97.004,0,2024-01-29 10:25:00+00:00,96.8585,STOP_LOSS,1,-60.76,7.8921,7.8435,19.6392,-76.49,-1.662
7,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-01-30 18:50:00+00:00,104.8228,104.7735,0.4696,2024-01-30 18:50:00+00:00,105.21,2024-01-30 19:00:00+00:00,105.2,0.0272,0.0,2024-01-30 19:05:00+00:00,105.2526,86.283447,9081.56,104.6796,104.6796,0,2024-01-30 21:05:00+00:00,104.5226,STOP_LOSS,24,-62.99,7.2652,7.2149,18.0686,-77.47,-1.567
8,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-02-08 19:40:00+00:00,317.686,317.605,0.5595,2024-02-08 19:40:00+00:00,318.3,2024-02-08 20:05:00+00:00,318.2,0.014,0.0,2024-02-08 20:10:00+00:00,318.3591,30.508694,9712.72,317.4931,318.5147,3,2024-02-08 21:45:00+00:00,318.0369,TRAILING_STOP,19,-9.83,7.7702,7.7623,19.4107,-25.36,-0.96
9,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-02-13 08:20:00+00:00,113.9762,113.8911,0.2654,2024-02-13 08:20:00+00:00,114.11,2024-02-13 08:25:00+00:00,114.5,0.0238,0.0,2024-02-13 08:30:00+00:00,114.5572,68.026546,7792.93,113.838,113.838,0,2024-02-13 10:40:00+00:00,113.6673,STOP_LOSS,26,-60.54,6.2343,6.1859,15.4951,-72.96,-1.491
10,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-02-18 07:35:00+00:00,108.8562,108.7302,0.2679,2024-02-18 07:35:00+00:00,109.13,2024-02-18 08:05:00+00:00,108.92,0.0238,0.0,2024-02-18 08:10:00+00:00,108.9745,88.235151,9615.38,108.6766,111.9506,16,2024-02-18 10:30:00+00:00,111.7827,TRAILING_STOP,28,247.78,7.6923,7.8905,19.6024,232.2,8.836
