event_idx,timestamp,symbol,close,U,L,atr14,ma_order_type,ma_cross_count_12,congestion_ratio,congestion_ratio_delta_3,price_location,dist_to_u,dist_to_l,dist_to_ma200,ma20_slope_3,ma20_slope_6,ma20_slope_12,ma50_slope_3,ma50_slope_6,ma50_slope_12,ma100_slope_3,ma100_slope_6,ma100_slope_12,ma200_slope_12,atr_ratio,vol_ratio_20,taker_buy_ratio,candle_body_ratio,upper_shadow_ratio,lower_shadow_ratio,long_net_r,long_exit_reason,long_bars_held,short_net_r,short_exit_reason,short_bars_held,action_label
446,2024-01-02 13:10:00+00:00,BNBUSDT,318.7,319.0199065155214,318.4850301960251,1.0934051282239239,0,0,0.4892,-0.1313,0,-0.2926,0.1966,1.4057,-0.0441,-0.0749,-0.0253,-0.0147,-0.0236,0.0003,0.0022,-0.0016,0.0112,0.0183,0.003431,1.1129,0.6114,0.1,0.6,0.3,-1.391,SL,2,-0.62,TIME_12B,12,0
462,2024-01-02 14:30:00+00:00,ETHUSDT,2382.39,2396.1249333213477,2393.9457710309794,5.96940158599441,2,0,0.3651,-0.3048,-1,-2.3009,-1.9358,0.2586,-0.1022,-0.028,0.0013,-0.0476,-0.0179,-0.009,-0.0153,-0.0,0.005,0.0258,0.002506,2.886,0.3791,0.6752,0.0142,0.3106,-1.12,SL,1,0.746,TIME_12B,12,2
466,2024-01-02 14:50:00+00:00,BTCUSDT,45179.67,45509.913339187246,45428.276643235964,168.18855225236717,2,1,0.4854,-0.6196,-1,-1.9635,-1.4781,0.7981,-0.1432,-0.0954,-0.0115,-0.0537,-0.0307,0.0035,-0.0158,-0.0035,0.014,0.0311,0.003723,2.5429,0.4525,0.0938,0.7059,0.2003,-1.12,SL,1,-0.669,TIME_12B,12,0
586,2024-01-03 00:50:00+00:00,BTCUSDT,45048.18,45049.876535517076,45001.63317173705,103.59592789394094,4,1,0.4657,-0.4038,0,-0.0164,0.4493,0.1383,0.1311,0.0713,0.0436,0.051,0.0232,0.0089,0.0153,0.0005,-0.0074,-0.002,0.0023,1.2202,0.3065,0.8239,0.1571,0.019,0.385,TIME_12B,12,-1.12,SL,1,1
617,2024-01-03 03:25:00+00:00,BNBUSDT,311.7,312.7093195256782,312.5066748475808,0.45361494762175336,0,0,0.4467,-0.5695,-1,-2.2251,-1.7783,-2.8181,-0.2125,-0.1789,-0.1198,-0.0745,-0.054,-0.0179,-0.0277,-0.0164,0.0029,-0.0093,0.001455,1.6988,0.3347,0.5,0.0,0.5,-1.12,SL,1,-1.727,SL,7,0
630,2024-01-03 04:30:00+00:00,SOLUSDT,107.51,107.97039528110645,107.7312070350613,0.47922885831202844,4,3,0.4991,-0.0275,-1,-0.9607,-0.4616,-2.5034,0.017,0.0008,0.0135,0.0098,0.0019,0.0065,-0.0054,-0.0099,-0.0084,-0.0204,0.004458,1.1203,0.3786,0.629,0.1613,0.2097,-1.12,SL,1,-1.812,SL,6,0
630,2024-01-03 04:30:00+00:00,ETHUSDT,2365.32,2368.4750583345317,2367.1077176922377,3.09074125502518,0,0,0.4424,-0.1382,-1,-1.0208,-0.5784,-0.8944,0.0078,0.0041,-0.0136,0.0159,0.0138,0.0092,0.0114,0.01,0.0076,0.0002,0.001307,2.6177,0.2948,0.8728,0.1257,0.0015,-1.12,SL,1,-1.341,SL,3,0
670,2024-01-03 07:50:00+00:00,BTCUSDT,44961.99,45233.83209379452,45205.09245568087,79.58109090167315,0,0,0.3611,-1.4578,-1,-3.4159,-3.0548,-2.3718,-0.2657,-0.1125,-0.0149,-0.0946,-0.0287,0.0105,-0.0382,-0.0045,0.0148,0.0146,0.00177,1.9055,0.3698,0.9335,0.0,0.0665,-1.12,SL,1,-0.94,TIME_12B,12,0
671,2024-01-03 07:55:00+00:00,ETHUSDT,2361.64,2372.9277281271325,2371.219892042557,4.285869603788726,2,1,0.3985,-1.0215,-1,-2.6337,-2.2352,-2.0078,-0.2872,-0.175,-0.0777,-0.1076,-0.0549,-0.0104,-0.0439,-0.0163,0.0065,0.0059,0.001815,2.2707,0.6227,0.2563,0.2689,0.4748,-1.12,SL,1,-1.215,TIME_12B,12,0
672,2024-01-03 08:00:00+00:00,SOLUSDT,107.75,108.66036533193142,108.38490323302621,0.5578640253932826,0,0,0.4938,-0.5265,-1,-1.6319,-1.1381,-1.6992,-0.1989,-0.152,-0.0278,-0.0638,-0.037,0.0185,-0.0251,-0.0108,0.0168,0.0025,0.005177,1.3238,0.3138,0.0685,0.2329,0.6986,-1.12,SL,1,-1.072,TIME_12B,12,0
