decile,events_count,trades_taken,trade_ratio_pct,win_rate_pct,mean_net_r,median_net_r,profit_factor,sum_net_r,avg_pred_score
1,720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0552
2,720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967
3,720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1098
4,720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1191
5,720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282
6,719,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1373
7,720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1476
8,720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1596
9,720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1761
10,720,5,0.7,20.0,-0.233,-0.465,0.49,-1.16,0.2234
