decile,events_count,trades_taken,trade_ratio_pct,win_rate_pct,mean_net_r,median_net_r,profit_factor,sum_net_r,avg_pred_score
1,720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0235
2,720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297
3,720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366
4,720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.053
5,720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0776
6,719,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1052
7,720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1356
8,720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667
9,720,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2044
10,720,16,2.2,50.0,0.095,0.034,1.32,1.53,0.2727
