net_return_pct,max_drawdown_pct,annualized_sharpe,calmar_ratio,avg_cash_pct,total_trades,win_rate_pct,profit_factor,top3_trades_profit_share_pct,max_dd_recovery_days,final_equity_usd,total_friction_usd,year,initial_equity,model_key
232.87,31.26,2.24,7.49,73.3,39,53.8,2.31,93.8,99,33827.55,1130.67,2021,10162.49,M1A_Structural_Trend_Close
-1.09,30.01,0.05,-0.04,93.4,14,35.7,0.97,0.0,107,33457.94,1760.3,2022,33827.55,M1A_Structural_Trend_Close
109.24,36.83,1.56,2.98,79.7,31,41.9,2.49,121.5,278,70008.67,3607.19,2023,33457.94,M1A_Structural_Trend_Close
55.78,16.45,1.49,3.39,79.1,23,52.2,3.78,112.2,124,109060.85,6160.85,2024,70008.67,M1A_Structural_Trend_Close
7.43,20.61,0.42,0.36,89.3,18,44.4,1.28,253.1,111,117164.74,8883.29,2025,109060.85,M1A_Structural_Trend_Close
-4.34,24.68,-0.19,-0.24,87.3,17,23.5,0.54,0.0,0,112083.69,11383.27,2026,117164.74,M1A_Structural_Trend_Close
1020.84,39.52,1.19,1.27,83.3,146,44.5,1.77,62.9,461,112083.69,11383.27,Full_Cycle,10000.0,M1A_Structural_Trend_Close
37.06,30.01,0.88,1.24,80.1,47,46.8,1.32,160.1,130,11910.66,997.87,2021,8689.83,M1B_Structural_Trend_Intrabar
9.57,20.72,0.59,0.46,93.5,14,42.9,1.4,314.5,106,13050.66,1330.78,2022,11910.66,M1B_Structural_Trend_Intrabar
54.42,33.99,1.33,1.61,85.3,35,45.7,1.79,156.2,289,20153.36,2291.89,2023,13050.66,M1B_Structural_Trend_Intrabar
7.22,18.74,0.39,0.39,83.4,34,41.2,1.18,344.3,140,21607.78,3505.73,2024,20153.36,M1B_Structural_Trend_Intrabar
13.31,18.8,0.71,0.71,91.4,20,45.0,1.5,143.1,111,24482.93,4360.34,2025,21607.78,M1B_Structural_Trend_Intrabar
-8.14,20.88,-0.53,-0.53,90.5,19,26.3,0.54,0.0,0,22490.13,5161.21,2026,24482.93,M1B_Structural_Trend_Intrabar
124.9,33.99,0.58,0.43,87.3,176,42.0,1.28,101.4,289,22490.13,5161.21,Full_Cycle,10000.0,M1B_Structural_Trend_Intrabar
1418.58,59.12,3.08,24.23,26.4,64,17.2,2.26,133.4,101,182858.69,11125.41,2021,12041.39,M2_Simple_EMA_ETHSOL
